A1;A2;A3;A4;A5;A6;A7;A8;A9;A10
37;36,599998;36,84;36,355;1976015;29,269838;0,062;0,7553;0,4487441;-0,5
37,119999;36,799999;37,049999;36,419998;1435165;29,396961;0,066;0,7637;0,4487441;-0,5
36,764999;36,715;37,145;36,625;1575197;29,492302;0,068;0,7666;0,4487441;-0,5
36,665001;37,474998;37,52;36,560001;1311218;29,210253;0,066;0,7635;0,4487441;-0,5
37,099998;36,580002;37,09;36,575001;998306;29,1308;0,067;0,7653;0,4487441;-0,5
36,950001;36,845001;37,099998;36,724998;1248813;29,476419;0,069;0,7667;0,4487441;-0,5
37,095001;37,150002;37,314999;36,880001;1234472;29,357237;0,069;0,7567;0,4487441;-0,5
37,235001;37;37,205002;36,860001;1116325;29,472441;0,067;0,7493;0,4487441;-0,5
37,294998;37,334999;37,375;37,029999;965015;29,583673;0,065;0,7481;0,4487441;-0,5
37,310001;37;37,544998;36,950001;1598955;29,63134;0,064;0,7491;0,4487441;-0,5
37,794998;37,389999;37,494999;36,900002;1223247;29,643263;0,067;0,7521;0,4487441;-0,5
37,689999;37,310001;37,895;37,150002;1508170;30,028597;0,068;0,7487;0,4487441;-0,5
37,959999;37,889999;37,889999;37,450001;1481289;29,945179;0,068;0,7524;0,4487441;-0,5
37,865002;37,785;37,959999;37,509998;745127;30,159691;0,068;0,751;0,4487441;-0,5
37,779999;37,865002;37,985001;37,325001;1539481;30,084221;0,069;0,7527;0,4487441;-0,5
37,900002;37,849998;37,924999;37,439999;1238274;30,016684;0,068;0,7529;0,4487441;-0,5
38,494999;37,785;38,049999;37,474998;1091812;30,112024;0,068;0,7478;0,4487441;-0,5
38,18;37,895;38,494999;37,744999;1818208;30,584759;0,071;0,7421;0,4487441;-0,5
38,224998;38,384998;38,419998;38,105;1238729;30,334486;0,073;0,7428;0,4487441;-0,5
37,884998;38,25;38,41;38,035;875553;30,370243;0,074;0,7419;0,4487441;-0,5
37,525002;38,345001;38,5;37,764999;1191749;30,100105;0,081;0,737;0,4487441;-0,5
37,98;37,855;38,049999;37,52;1335831;29,814085;0,08;0,7367;0,4487441;-0,5
36,224998;37,505001;38,220001;37,5;1565427;30,175585;0,081;0,7302;0,4487441;0,28
36,615002;38;38;36,200001;2766186;28,781214;0,079;0,7376;0,4487441;0,28
35,404999;36,205002;36,970001;36,18;1808766;29,091084;0,074;0,7392;0,4487441;0,28
35,064999;36,195;36,244999;35,09;3567510;28,129715;0,067;0,7387;0,4487441;0,28
35,5;35,580002;35,849998;35;2291131;27,859581;0,068;0,7468;0,4487441;0,28
35,400002;35,174999;35,744999;35,09;1724929;28,205194;0,068;0,7473;0,4487441;0,28
35,915001;35,540001;35,775002;35,16;1091787;28,125744;0,072;0,7474;0,4487441;0,28
35,59;35,384998;35,915001;35,209999;1317350;28,53492;0,073;0,7427;0,4487441;0,28
35,735001;36,080002;36,080002;35,450001;1228621;28,276701;0,064;0,7442;0,4487441;0,28
35,005001;35,415001;35,834999;35,355;1509230;28,391905;0,066;0,7495;0,4487441;0,28
35,259998;35,509998;35,764999;35,005001;2090127;27,811913;0,06;0,749;0,4487441;0,28
35,810001;35,005001;35,259998;34,700001;1071780;28,014511;0,058;0,7491;0,4487441;0,28
35,224998;35,099998;35,810001;35,035;1631366;28,451494;0,062;0,7487;0,4487441;0,28
34,494999;35,715;35,794998;35,189999;1541464;27,986706;0,069;0,7479;0,4487441;0,28
35,610001;34,869999;34,994999;34,150002;2222563;27,406706;0,07;0,7564;0,4487441;0,28
35,950001;34,564999;35,610001;34,564999;1879617;28,292585;0,071;0,7598;0,4487441;0,28
34,799999;35,744999;36,514999;35,669998;2334062;28,562723;0,064;0,7568;0,4487441;0,28
35,599998;34,915001;35,314999;34,674999;2720313;27,649031;0,065;0,7649;0,4487441;0,28
35,450001;34,950001;35,619999;34,630001;1854294;28,284645;0,056;0,7628;0,4487441;0,28
35,380001;35,884998;35,939999;35,314999;1589658;28,165462;0,066;0,7648;0,4487441;0,28
35,400002;35,490002;35,490002;34,845001;1566822;28,109852;0,059;0,7702;0,4487441;0,76
36,064999;35,080002;35,560001;34,939999;1087114;28,125744;0,06;0,7686;0,4487441;0,76
35,939999;35,720001;36,130001;35,720001;1488683;28,654093;0,061;0,7677;0,4487441;0,76
36,189999;36,084999;36,27;35,849998;1186988;28,554777;0,07;0,7692;0,4487441;0,76
36,575001;35,919998;36,365002;35,810001;1019478;28,753405;0,063;0,7644;0,4487441;0,76
36,494999;36,294998;36,599998;36,25;1312383;29,059294;0,06;0,7703;0,4487441;0,76
36,490002;36,32;36,494999;36,055;1036961;28,995726;0,064;0,7684;0,4487441;0,76
36,494999;36,294998;36,685001;36,244999;1586357;28,99176;0,068;0,768;0,4487441;0,76
36,610001;36,41;36,494999;36,005001;1217688;28,995726;0,068;0,7722;0,4487441;0,76
36,185001;36,669998;36,700001;36,275002;2041988;29,087109;0,068;0,7705;0,4487441;0,76
35,715;36,595001;36,625;35,924999;2848127;28,749437;0,07;0,7653;0,4487441;0,76
35,310001;35,16;35,755001;35,150002;1842223;28,376019;0,069;0,7717;0,4487441;0,76
35,724998;35,310001;35,669998;35,075001;1684758;28,054239;0,064;0,7759;0,4487441;0,76
35,209999;35,360001;35,860001;35,360001;1743059;28,383965;0,065;0,7722;0,4487441;0,76
35,125;35,580002;35,775002;35,125;2532822;27,974785;0,062;0,7737;0,4487441;0,76
35,09;35,09;35,349998;34,970001;2043877;27,907249;0,061;0,7695;0,4487441;0,76
35,764999;35,424999;35,75;34,900002;2097544;27,879452;0,064;0,7763;0,4487441;0,76
35,105;35,09;36,060001;35,09;3009423;28,415745;0,064;0,7777;0,4487441;0,76
35,145;35,490002;35,689999;34,759998;2410860;27,891361;0,067;0,7824;0,4487441;0,76
35,599998;34,84;35,470001;34,814999;1936431;27,923145;0,112;0,7788;0,4487441;0,76
35,310001;35,134998;35,794998;35,105;2062266;28,284645;0,07;0,7789;0,4487441;-0,15
35,345001;35,404999;35,799999;35,279999;1688074;28,054239;0,072;0,7783;0,4487441;-0,15
35,099998;35,325001;36,060001;35,205002;2315633;28,082048;0,074;0,778;0,4487441;-0,15
35,209999;35,209999;35,564999;34,580002;2292229;27,887388;0,075;0,7679;0,4487441;-0,15
35,360001;35,285;35,529999;35,189999;1617774;27,974785;0,082;0,7682;0,4487441;-0,15
36;35,419998;35,509998;35,240002;1812644;28,093966;0,078;0,7658;0,4487441;-0,15
36,275002;35,404999;36,209999;35,404999;1799615;28,602451;0,082;0,7642;0,4487441;-0,15
35,860001;35,830002;36,505001;35,830002;1646382;28,820944;0,086;0,7618;0,4487441;-0,15
35,715;36,07;36,27;35,665001;1722983;28,49122;0,082;0,7635;0,4487441;-0,15
35,465;35,705002;35,955002;35,435001;1785166;28,376019;0,083;0,7642;0,4487441;-0,15
34,619999;35,455002;35,68;35,200001;1870559;28,177389;0,08;0,7616;0,4487441;-0,15
34,525002;35,689999;35,77;34,305;3133460;27,506021;0,078;0,7668;0,4487441;-0,15
34,580002;34,650002;34,794998;34,259998;2120399;27,43054;0,08;0,7645;0,4487441;-0,15
34,650002;34,715;34,814999;34,419998;2266103;27,474243;0,083;0,7645;0,4487441;-0,15
34,330002;34,810001;35,080002;34,355;1873814;27,529863;0,082;0,7674;0,4487441;-0,15
35,185001;33,945;34,41;33,25;2932499;28,271017;0,079;0,7684;0,4487441;-0,15
35,5;34,470001;35,34;34,435001;2919596;28,975115;0,083;0,7695;0,4487441;-0,15
36,705002;35,27;35,869999;35,27;1761461;29,234522;0,083;0,7689;0,4487441;-0,15
37,244999;36,23;36,994999;35,974998;4380183;30,226847;0,082;0,7676;0,4487441;-0,15
36,560001;36,720001;37,244999;36,66;1714582;30,671541;0,085;0,7633;0,4487441;-0,15
36,654999;37,314999;37,415001;36,5;2033398;30,107439;0,102;0,7584;0,4487441;0,06
37,349998;36,605;37,035;36,18;2145763;30,185667;0,078;0,7651;0,4487441;0,06
37,294998;36,705002;37,535;36,48;1679300;30,758005;0,077;0,7625;0,4487441;0,06
37,66;37,349998;37,450001;37,009998;1045982;30,712711;0,083;0,7649;0,4487441;0,06
37,950001;37,264999;37,939999;37,264999;1361431;31,013294;0,075;0,7642;0,4487441;0,06
37,849998;37,595001;37,959999;37,465;993926;31,252115;0,064;0,7591;0,4487441;0,06
37,695;37,77;37,939999;37,695;1142114;31,169754;0,072;0,7636;0,4487441;0,06
37,549999;37,794998;37,93;37,369999;1387915;31,04212;0,074;0,7709;0,4487441;0,06
37,709999;37,639999;37,82;37,305;1485168;30,922714;0,086;0,7702;0,4487441;0,06
37,875;37,755001;37,785;37,259998;1458124;31,05447;0,081;0,7705;0,4487441;0,06
37,715;37,740002;37,904999;37,494999;1120669;31,19035;0,078;0,7775;0,4487441;0,06
38,025002;37,744999;37,869999;37,259998;1001178;31,058588;0,082;0,7742;0,4487441;0,06
38,439999;37,634998;38,240002;37,57;2761480;31,313881;0,066;0,7799;0,4487441;0,06
38,535;38,23;38,445;38,115002;1140632;31,655636;0,069;0,7778;0,4487441;0,06
38,014999;38,450001;38,610001;38,040001;1421475;31,733866;0,076;0,7768;0,4487441;0,06
37,255001;38,560001;38,560001;37,865002;1787629;31,305639;0,083;0,7765;0,4487441;0,06
37,494999;37,005001;37,5;36,755001;2392658;30,679777;0,078;0,7751;0,4487441;0,06
37,865002;37,514999;38,055;37,32;1619899;30,877417;0,081;0,7735;0,4487441;0,06
39,305;37,674999;37,974998;37,544998;780953;31,182123;0,082;0,7735;0,4487441;0,06
39,349998;38;39,450001;37,970001;3229184;32,36797;0,084;0,7778;0,4487441;0,06
40;38,91;39,404999;38,52;2263142;32,405022;0,076;0,7712;0,4487441;0,06
39,695;39,07;40,099998;39;2487180;32,940304;0,073;0,766;0,4487441;0,06
39,494999;39,889999;40,064999;39,195;2422307;32,689133;0,114;0,7716;0,4487441;0,06
39,799999;39,540001;39,900002;38,775002;1785685;32,524433;0,078;0,7675;0,4487441;0,16
38,779999;39,830002;40,334999;39,639999;2741742;32,7756;0,078;0,7651;0,4487441;0,16
38,564999;39,5;39,650002;38,759998;2076027;31,935629;0,081;0,7642;0,4487441;0,16
39,790001;38,799999;39,095001;38,564999;1426914;31,758572;0,083;0,7579;0,4487441;0,16
39,674999;39,174999;40,029999;39,145;3418074;32,767357;0,078;0,7564;0,4487441;0,16
39,099998;39,740002;39,900002;39,459999;1108175;32,672661;0,082;0,7579;0,4487441;0,16
38,66;39,799999;39,799999;38,775002;1624623;32,199146;0,075;0,7534;0,4487441;0,16
38,599998;39,134998;39,275002;38,605;1187418;31,836805;0,077;0,7498;0,4487441;0,16
38,595001;38,25;38,875;37,810001;1596907;31,787399;0,074;0,7519;0,4487441;0,16
39,16;38,84;39;38,345001;1225910;31,783281;0,075;0,7496;0,4487441;0,16
39,244999;38,650002;39,470001;38,610001;1069216;32,248562;0,08;0,7492;0,4487441;0,16
38,799999;38,915001;39,490002;38,77;1409689;32,318558;0,073;0,7467;0,4487441;0,16
37,5;39,200001;39,200001;38,669998;1265379;31,952099;0,082;0,746;0,4487441;0,16
36,810001;38,209999;38,424999;37,384998;2284194;30,881533;0,082;0,759;0,4487441;0,16
36,174999;37,615002;37,695;36,810001;3231330;30,313313;0,084;0,7613;0,4487441;0,16
37,595001;36,764999;36,865002;35,900002;2193695;29,790388;0,084;0,7638;0,4487441;0,16
38,490002;36,700001;37,810001;36,599998;2594779;30,959774;0,079;0,7649;0,4487441;0,16
38,810001;37,794998;38,654999;37,450001;2381924;31,696808;0,084;0,7691;0,4487441;0,16
38,555;38,490002;39,014999;37,860001;1592366;31,960333;0,086;0,7691;0,4487441;0,16
39,049999;38,889999;39;38,299999;1472360;31,750332;0,208;0,7693;0,4487441;0,16
38,700001;38,645;39,369999;38,224998;1299255;32,157974;0,085;0,7671;0,4487441;-0,3
38,150002;39;39,165001;38,654999;1356481;31,869747;0,082;0,7673;0,4487441;-0,3
39,145;38,200001;38,325001;37,865002;1870649;31,416819;0,082;0,771;0,4487441;-0,3
38,404999;38,490002;39,285;38,220001;1534195;32,23621;0,087;0,7744;0,4487441;-0,3
39,279999;39,064999;39,299999;38,404999;1550832;31,626808;0,087;0,7791;0,4487441;-0,3
39,02;38,674999;39,334999;38,665001;1424889;32,347378;0,084;0,7773;0,4487441;-0,3
39,165001;39,224998;39,375;38,959999;1384579;32,133266;0,083;0,7821;0,4487441;-0,3
39,849998;38,900002;39,235001;38,470001;1195813;32,252674;0,088;0,7777;0,4487441;-0,3
39,330002;39,575001;39,849998;39,419998;1876703;32,81678;0,09;0,7669;0,4487441;-0,3
39,580002;39,889999;39,990002;39,314999;1522031;32,388557;0,087;0,7661;0,4487441;-0,3
39,345001;39,334999;39,610001;39,25;950582;32,594437;0,086;0,7665;0,4487441;-0,3
39,5;39,575001;39,639999;38,939999;970816;32,400906;0,083;0,7612;0,4487441;-0,3
39,605;39,400002;39,615002;38,900002;1093428;32,528557;0,09;0,7638;0,4487441;-0,3
39,705002;39,32;39,605;39,095001;1430146;32,615025;0,091;0,7639;0,4487441;-0,3
40,064999;39,400002;39,705002;38,970001;1580918;32,697369;0,098;0,7612;0,4487441;-0,3
39,689999;39,744999;40,064999;39,400002;1369305;32,993832;0,101;0,7579;0,4487441;-0,3
40,305;40,099998;40,259998;39,674999;1325984;32,68502;0,105;0,7565;0,4487441;-0,3
40,32;39,834999;40,404999;39,705002;1620925;33,191479;0,104;0,7555;0,4487441;-0,3
40,450001;40,189999;40,650002;39,970001;1341296;33,203827;0,098;0,7556;0,4487441;-0,3
40,459999;40,490002;40,555;40,139999;1132513;33,310879;0,097;0,7539;0,4487441;-0,3
40,849998;40,5;40,619999;40,380001;1254322;33,319111;0,092;0,7545;0,4487441;-0,3
40,59;40,5;40,919998;40,365002;1453432;33,640293;0,099;0,7547;0,4487441;-0,3
40,884998;40,299999;40,650002;39,830002;2692087;33,426174;0,143;0,7531;0,4487441;-0,3
40,805;40,68;40,985001;40,59;1726979;33,669098;0,093;0,7556;0,4487441;0,46
40,665001;40,955002;41;40,634998;1215064;33,60323;0,084;0,7528;0,4487441;0,46
40,200001;40,779999;40,974998;40,470001;960062;33,487942;0,083;0,7553;0,4487441;0,46
40;40,564999;40,715;39,939999;1165082;33,105007;0,078;0,7514;0,4487441;0,46
40,865002;40;40,040001;39,540001;1209639;32,940304;0,099;0,7508;0,4487441;0,46
40,915001;40,174999;40,865002;40,145;1766784;33,652637;0,084;0,7471;0,4487441;0,46
41,095001;40,849998;41,025002;40,580002;1096524;33,693813;0,082;0,749;0,4487441;0,46
41,305;41;41,099998;40,715;924131;33,842045;0,079;0,7522;0,4487441;0,46
41,715;41,099998;41,384998;41,044998;911707;34,014984;0,077;0,7555;0,4487441;0,46
41,52;41,299999;41,715;41,259998;1296635;34,352615;0,08;0,7539;0,4487441;0,46
41,700001;41,735001;41,830002;41,084999;940014;34,192039;0,077;0,7547;0,4487441;0,46
41,150002;41,52;41,735001;41,075001;1155437;34,340275;0,078;0,7501;0,4487441;0,46
40,380001;41,650002;41,689999;40,93;1045342;33,887344;0,079;0,749;0,4487441;0,46
40,294998;41,049999;41,09;40,154999;1359372;33,253242;0,078;0,7448;0,4487441;0,46
40,68;40,490002;40,645;40,294998;813954;33,183235;0,078;0,7476;0,4487441;0,46
40,575001;40,455002;40,790001;40,380001;1035437;33,500294;0,079;0,7493;0,4487441;0,46
40,540001;40,775002;40,779999;40,145;677724;33,413818;0,077;0,7462;0,4487441;0,46
39,584999;40,630001;40,639999;40,150002;503488;33,385002;0,078;0,7481;0,4487441;0,46
