date,AIR.PA.Open,AIR.PA.High,AIR.PA.Low,AIR.PA.Close,AIR.PA.Volume,AIR.PA.Adjusted
28/12/2012,29.775,29.83,29.35,29.395,836695,26.040861
02/01/2013,30,30.33,29.879999,30.065001,1526764,26.634413
03/01/2013,30,30.225,29.9,30.200001,802652,26.754005
04/01/2013,30.254999,30.85,30.1,30.799999,1547823,27.285543
07/01/2013,30.85,31.01,30.735001,30.75,1370626,27.241249
08/01/2013,30.91,31.184999,30.795,30.924999,1911342,27.39628
09/01/2013,31,32.174999,30.965,32.125,3593140,28.459354
10/01/2013,32.169998,32.794998,31.865,32.040001,2723918,28.384052
11/01/2013,32.044998,32.630001,31.995001,32.294998,1641004,28.609955
14/01/2013,32.325001,32.395,31.99,32.150002,1102963,28.481504
15/01/2013,31.950001,32.439999,31.91,32.145,1452018,28.477074
16/01/2013,32,32.584999,31.934999,32.435001,2511592,28.733982
17/01/2013,32.400002,33.91,32.400002,33.700001,4084908,29.854637
18/01/2013,33.990002,34.785,33.82,34.599998,5299720,30.651939
21/01/2013,34.75,34.869999,33.939999,34.310001,2416236,30.395029
22/01/2013,34.400002,35.134998,34.314999,35,3005038,31.006296
23/01/2013,34.900002,34.974998,34.334999,34.755001,2057351,30.789255
24/01/2013,34.720001,34.849998,34.314999,34.685001,1724079,30.727243
25/01/2013,34.744999,34.860001,34.415001,34.785,1704842,30.815836
28/01/2013,34.654999,35.974998,34.544998,35.735001,3566623,31.657434
29/01/2013,35.75,35.794998,35.23,35.299999,1910214,31.272066
30/01/2013,35.299999,35.400002,33.509998,34.389999,3019976,30.465902
31/01/2013,34.25,34.98,34.130001,34.605,1742410,30.656374
01/02/2013,34.470001,35.529999,34.424999,35.189999,2579467,31.174614
04/02/2013,35.02,35.189999,34.334999,34.82,1943529,30.846834
05/02/2013,34.939999,35.23,34.599998,34.935001,1378391,30.948715
06/02/2013,34.939999,35.514999,34.735001,34.825001,1772348,30.851269
07/02/2013,34.735001,35.445,34.720001,35.305,1642660,31.276499
08/02/2013,35.299999,35.419998,34.865002,35.044998,1066617,31.046164
11/02/2013,34.549999,34.895,34.330002,34.764999,1292085,30.798115
12/02/2013,34.849998,34.994999,34.580002,34.970001,1232483,30.979725
13/02/2013,34.994999,35.244999,34.720001,35.174999,1091348,31.161333
14/02/2013,35.18,35.305,34.884998,34.884998,1219593,30.904419
15/02/2013,34.380001,35.105,34.349998,34.895,1513167,30.913282
18/02/2013,34.785,35.259998,34.689999,35.200001,1022608,31.183479
19/02/2013,35.105,35.779999,34.950001,35.759998,1539428,31.679579
20/02/2013,35.75,36.799999,35.299999,36.25,2201378,32.113667
21/02/2013,35.810001,35.985001,35.119999,35.299999,1539162,31.272066
22/02/2013,35.5,35.889999,34.5,35.889999,1835389,31.794744
25/02/2013,36,36.185001,35.43,35.540001,1311746,31.484686
26/02/2013,34.66,35.259998,34.330002,34.865002,1866903,30.886707
27/02/2013,36.400002,37.735001,36.055,37.139999,7553622,32.902115
28/02/2013,38,39.25,37.52,39.18,7888501,34.709339
01/03/2013,39.240002,39.985001,38.435001,38.950001,2734471,34.505585
04/03/2013,38.900002,40,38.705002,39.900002,2724613,35.347179
05/03/2013,40,40.049999,39.200001,39.400002,2347769,34.90424
06/03/2013,39.165001,39.950001,39.16,39.435001,2007919,34.935242
07/03/2013,39.5,40.290001,39.465,39.990002,2442476,35.426914
08/03/2013,39.799999,40.290001,39.709999,40,2199118,35.435768
11/03/2013,39.889999,40.849998,39.525002,40.52,1930375,35.896435
12/03/2013,40.224998,41.375,40.220001,41.115002,1910965,36.423542
13/03/2013,40.529999,41.985001,40.419998,41.799999,2620488,37.030384
14/03/2013,41.919998,42.18,41.650002,41.945,2633767,37.158836
15/03/2013,41.849998,42.584999,40.82,42.584999,26899993,37.725807
18/03/2013,41.900002,42.52,41.555,42.049999,5375988,37.251854
19/03/2013,42.049999,42.115002,41.439999,41.689999,2396216,36.932934
20/03/2013,41.669998,41.889999,40.52,41.355,2799679,36.636154
21/03/2013,41.134998,41.240002,40.404999,40.639999,2222872,36.002743
22/03/2013,40.450001,41.810001,39.880001,41.349998,2224734,36.631725
25/03/2013,41.869999,42.294998,41.259998,41.455002,2238240,36.724747
26/03/2013,41.650002,42.099998,40.880001,40.924999,1996213,36.255222
27/03/2013,40.5,40.84,39.48,39.665001,3348435,35.138996
28/03/2013,39.73,39.860001,38.505001,39.700001,3368033,35.170002
02/04/2013,39.93,41.23,39.900002,41.115002,2830362,36.423542
03/04/2013,41.055,41.290001,40.334999,40.334999,2481741,35.732548
04/04/2013,40,40.395,39.139999,39.25,3950693,34.771351
05/04/2013,39.014999,39.279999,37.845001,38.279999,3755064,33.912037
08/04/2013,38.279999,39.404999,38.240002,38.709999,2451022,34.292969
09/04/2013,37,38.189999,36.919998,37.599998,10143905,33.309624
10/04/2013,37.799999,38.474998,37.619999,38.474998,3341475,34.084778
11/04/2013,38.279999,38.580002,38.154999,38.380001,2367993,34.000618
12/04/2013,38.255001,38.384998,37.18,37.654999,2510289,33.358345
15/04/2013,37.52,37.740002,37.25,37.505001,1813612,33.225464
16/04/2013,37.165001,37.889999,37.044998,37.195,2100546,32.95084
17/04/2013,38.5,39.299999,38.419998,39,13448819,34.549877
18/04/2013,39,39.09,38.580002,38.794998,4213754,34.368263
19/04/2013,39.200001,39.93,38.849998,39.93,4721286,35.37376
22/04/2013,40.5,40.59,39.200001,39.395,3274549,34.899811
23/04/2013,39.630001,40.75,39.52,40.615002,4458794,35.980595
24/04/2013,40.825001,41.02,40.115002,40.91,2780375,36.241936
25/04/2013,41.055,41.25,40.369999,40.650002,2138015,36.011608
26/04/2013,39.900002,40.110001,39.650002,40,5110324,35.435768
29/04/2013,40,40.369999,39.799999,39.865002,2825732,35.316177
30/04/2013,40.195,40.294998,39.669998,40.105,2391942,35.528786
02/05/2013,40,40.674999,39.805,40.355,2341439,35.750263
03/05/2013,40.419998,40.955002,40.165001,40.849998,2001860,36.188778
06/05/2013,40.68,40.945,40.514999,40.724998,733349,36.078041
07/05/2013,40.490002,41.154999,40.470001,40.724998,1897659,36.078041
08/05/2013,40.669998,41.485001,40.669998,41.25,2001279,36.543137
09/05/2013,41.389999,41.584999,41.049999,41.334999,1391174,36.618443
10/05/2013,41.605,41.865002,41.23,41.509998,2277938,36.773472
13/05/2013,41.674999,41.895,40.849998,41.200001,2600409,36.498848
14/05/2013,41.799999,42.549999,41.584999,42.439999,4563592,37.597355
15/05/2013,42.904999,43.349998,42.785,43.115002,2875866,38.195335
16/05/2013,42.939999,43.494999,42.830002,43.299999,2513485,38.359222
17/05/2013,43.294998,43.369999,42.900002,43.299999,3449904,38.359222
20/05/2013,43.299999,43.334999,42.625,43.165001,1394240,38.239628
21/05/2013,43.165001,43.299999,42.685001,43.075001,2153559,38.159893
22/05/2013,43.189999,43.349998,42.759998,43.099998,1737715,38.182045
23/05/2013,42.509998,42.82,41.805,42.02,2755654,37.225281
24/05/2013,42.445,42.59,42.105,42.525002,1384365,37.672657
27/05/2013,42.785,42.855,42.395,42.595001,876325,37.734669
28/05/2013,42.939999,43.799999,42.689999,43.799999,2706716,38.80217
29/05/2013,43.689999,44.674999,43.150002,44.200001,4228263,39.156525
30/05/2013,43.994999,44.799999,43.900002,44.244999,2039093,39.196396
31/05/2013,43.990002,44.450001,42.869999,44.450001,10733430,39.919338
03/06/2013,44.049999,44.224998,43.384998,43.384998,2430425,38.962887
04/06/2013,44.345001,44.360001,43.139999,43.325001,1547071,38.909008
05/06/2013,43.200001,43.34,42.435001,42.445,1896826,38.118698
06/06/2013,42.445,42.68,41.919998,41.919998,1737282,37.647209
07/06/2013,41.775002,43.689999,41.775002,43.424999,2726368,38.998814
10/06/2013,43.415001,43.810001,42.880001,43.009998,1712629,38.626114
11/06/2013,42.98,42.994999,41.970001,42.334999,2329885,38.019917
12/06/2013,42.57,43.490002,42.57,42.994999,2271884,38.612644
13/06/2013,42.285,43.150002,42.084999,43.005001,2080705,38.621624
14/06/2013,43.485001,43.5,42.5,42.84,2010989,38.473446
17/06/2013,43.099998,43.900002,42.865002,43,2312405,38.617138
18/06/2013,43.244999,43.605,42.919998,43.150002,2001250,38.75185
19/06/2013,43.150002,43.150002,42.130001,42.305,3200605,37.992973
20/06/2013,41.5,41.830002,41.09,41.264999,3941456,37.058975
21/06/2013,41.884998,41.889999,40.75,40.75,7470931,36.59647
24/06/2013,40.560001,40.950001,39.465,39.610001,3744579,35.572666
25/06/2013,40,40.790001,39.799999,40.744999,2472854,36.59198
26/06/2013,40.68,41.494999,40.200001,41.369999,2844191,37.153275
27/06/2013,41.384998,41.794998,41.23,41.560001,2379185,37.32391
28/06/2013,41.794998,42.275002,41.064999,41.064999,3061937,36.879364
01/07/2013,41.435001,42.09,41.209999,41.209999,3082547,37.009583
02/07/2013,41.5,41.5,40.740002,40.790001,1876329,36.632397
03/07/2013,40.5,40.665001,39.889999,40.235001,2436894,36.133965
04/07/2013,40.514999,41.700001,40.18,41.700001,2697682,37.449642
05/07/2013,41.715,41.849998,41.035,41.200001,1684359,37.000607
08/07/2013,41.615002,42.040001,41.57,41.66,2096223,37.413712
09/07/2013,42,42,41.549999,41.724998,1540284,37.472088
10/07/2013,41.700001,41.889999,41.119999,41.509998,1634191,37.279003
11/07/2013,41.994999,42.18,41.130001,41.360001,2152178,37.144295
12/07/2013,41.575001,41.799999,40.884998,41.27,1853044,37.063465
15/07/2013,41.470001,41.945,41.419998,41.84,1646518,37.575371
16/07/2013,41.84,41.939999,41.285,41.625,1735639,37.382282
17/07/2013,41.974998,42.185001,41.18,41.66,2747420,37.413712
18/07/2013,41.764999,42.259998,41.605,42.215,2388882,37.912148
19/07/2013,42.290001,42.709999,42.134998,42.639999,2836970,38.293827
22/07/2013,42.77,42.77,42.305,42.57,1081362,38.230961
23/07/2013,42.630001,42.735001,42.23,42.23,1485092,37.925621
24/07/2013,42.209999,42.494999,41.950001,42.32,2450219,38.006447
25/07/2013,42.435001,43.485001,42.369999,43.450001,2870016,39.021263
26/07/2013,43.990002,44.470001,43.599998,44.169998,3025523,39.667877
29/07/2013,44.264999,44.445,44.18,44.345001,3242432,39.825047
30/07/2013,44.450001,44.73,44.145,44.27,2328383,39.757687
31/07/2013,45.490002,45.75,44.259998,44.884998,4996391,40.310001
01/08/2013,45.5,45.709999,45.049999,45.275002,2567179,40.660252
02/08/2013,45.509998,45.509998,44.735001,45.055,2261250,40.462673
05/08/2013,45.220001,45.224998,44.790001,44.790001,2058881,40.224689
06/08/2013,44.900002,45.465,44.799999,45.404999,2804882,40.777
07/08/2013,45.505001,45.740002,45.130001,45.619999,2214203,40.970085
08/08/2013,45.75,45.919998,45.384998,45.830002,1489360,41.15868
09/08/2013,46,46.035,45.334999,45.955002,1557013,41.270939
12/08/2013,46.049999,46.099998,44.915001,44.939999,1684855,40.359394
13/08/2013,45,45.255001,44.424999,44.544998,1780375,40.004654
14/08/2013,44.900002,45.419998,44.68,45.049999,2131129,40.458183
15/08/2013,45.049999,45.5,44.700001,45.110001,1939857,40.51207
16/08/2013,45.299999,45.380001,44.650002,45.205002,2234531,40.597389
19/08/2013,45.389999,45.395,44.785,44.880001,1224341,40.305511
20/08/2013,44.794998,44.869999,43.700001,43.939999,1997454,39.461323
21/08/2013,44.18,44.259998,43.465,43.465,1385074,39.03474
22/08/2013,43.634998,44.174999,43.544998,43.994999,2017260,39.510715
23/08/2013,44.145,44.564999,43.790001,44.450001,989546,39.919338
26/08/2013,44.625,44.650002,43.974998,44.505001,597311,39.968731
27/08/2013,44.395,44.400002,43.615002,43.775002,2862768,39.313141
28/08/2013,43.505001,43.580002,42.305,42.689999,2907332,38.338734
