A1;A2;A3;A4;A5;A6;A7;A8;A9;A10
30,200001;30;30,33;29,879999;1526764;26,634413;0,062;0,7553;0,4487441;-0,5
30,799999;30;30,225;29,9;802652;26,754005;0,066;0,7637;0,4487441;-0,5
30,75;30,254999;30,85;30,1;1547823;27,285543;0,068;0,7666;0,4487441;-0,5
30,924999;30,85;31,01;30,735001;1370626;27,241249;0,066;0,7635;0,4487441;-0,5
32,125;30,91;31,184999;30,795;1911342;27,39628;0,067;0,7653;0,4487441;-0,5
32,040001;31;32,174999;30,965;3593140;28,459354;0,069;0,7667;0,4487441;-0,5
32,294998;32,169998;32,794998;31,865;2723918;28,384052;0,069;0,7567;0,4487441;-0,5
32,150002;32,044998;32,630001;31,995001;1641004;28,609955;0,067;0,7493;0,4487441;-0,5
32,145;32,325001;32,395;31,99;1102963;28,481504;0,065;0,7481;0,4487441;-0,5
32,435001;31,950001;32,439999;31,91;1452018;28,477074;0,064;0,7491;0,4487441;-0,5
33,700001;32;32,584999;31,934999;2511592;28,733982;0,067;0,7521;0,4487441;-0,5
34,599998;32,400002;33,91;32,400002;4084908;29,854637;0,068;0,7487;0,4487441;-0,5
34,310001;33,990002;34,785;33,82;5299720;30,651939;0,068;0,7524;0,4487441;-0,5
35;34,75;34,869999;33,939999;2416236;30,395029;0,068;0,751;0,4487441;-0,5
34,755001;34,400002;35,134998;34,314999;3005038;31,006296;0,069;0,7527;0,4487441;-0,5
34,685001;34,900002;34,974998;34,334999;2057351;30,789255;0,068;0,7529;0,4487441;-0,5
34,785;34,720001;34,849998;34,314999;1724079;30,727243;0,068;0,7478;0,4487441;-0,5
35,735001;34,744999;34,860001;34,415001;1704842;30,815836;0,071;0,7421;0,4487441;-0,5
35,299999;34,654999;35,974998;34,544998;3566623;31,657434;0,073;0,7428;0,4487441;-0,5
34,389999;35,75;35,794998;35,23;1910214;31,272066;0,074;0,7419;0,4487441;-0,5
34,605;35,299999;35,400002;33,509998;3019976;30,465902;0,081;0,737;0,4487441;-0,5
35,189999;34,25;34,98;34,130001;1742410;30,656374;0,08;0,7367;0,4487441;-0,5
34,82;34,470001;35,529999;34,424999;2579467;31,174614;0,081;0,7302;0,4487441;0,28
34,935001;35,02;35,189999;34,334999;1943529;30,846834;0,079;0,7376;0,4487441;0,28
34,825001;34,939999;35,23;34,599998;1378391;30,948715;0,074;0,7392;0,4487441;0,28
35,305;34,939999;35,514999;34,735001;1772348;30,851269;0,067;0,7387;0,4487441;0,28
35,044998;34,735001;35,445;34,720001;1642660;31,276499;0,068;0,7468;0,4487441;0,28
34,764999;35,299999;35,419998;34,865002;1066617;31,046164;0,068;0,7473;0,4487441;0,28
34,970001;34,549999;34,895;34,330002;1292085;30,798115;0,072;0,7474;0,4487441;0,28
35,174999;34,849998;34,994999;34,580002;1232483;30,979725;0,073;0,7427;0,4487441;0,28
34,884998;34,994999;35,244999;34,720001;1091348;31,161333;0,064;0,7442;0,4487441;0,28
34,895;35,18;35,305;34,884998;1219593;30,904419;0,066;0,7495;0,4487441;0,28
35,200001;34,380001;35,105;34,349998;1513167;30,913282;0,06;0,749;0,4487441;0,28
35,759998;34,785;35,259998;34,689999;1022608;31,183479;0,058;0,7491;0,4487441;0,28
36,25;35,105;35,779999;34,950001;1539428;31,679579;0,062;0,7487;0,4487441;0,28
35,299999;35,75;36,799999;35,299999;2201378;32,113667;0,069;0,7479;0,4487441;0,28
35,889999;35,810001;35,985001;35,119999;1539162;31,272066;0,07;0,7564;0,4487441;0,28
35,540001;35,5;35,889999;34,5;1835389;31,794744;0,071;0,7598;0,4487441;0,28
34,865002;36;36,185001;35,43;1311746;31,484686;0,064;0,7568;0,4487441;0,28
37,139999;34,66;35,259998;34,330002;1866903;30,886707;0,065;0,7649;0,4487441;0,28
39,18;36,400002;37,735001;36,055;7553622;32,902115;0,056;0,7628;0,4487441;0,28
38,950001;38;39,25;37,52;7888501;34,709339;0,066;0,7648;0,4487441;0,28
39,900002;39,240002;39,985001;38,435001;2734471;34,505585;0,059;0,7702;0,4487441;0,76
39,400002;38,900002;40;38,705002;2724613;35,347179;0,06;0,7686;0,4487441;0,76
39,435001;40;40,049999;39,200001;2347769;34,90424;0,061;0,7677;0,4487441;0,76
39,990002;39,165001;39,950001;39,16;2007919;34,935242;0,07;0,7692;0,4487441;0,76
40;39,5;40,290001;39,465;2442476;35,426914;0,063;0,7644;0,4487441;0,76
40,52;39,799999;40,290001;39,709999;2199118;35,435768;0,06;0,7703;0,4487441;0,76
41,115002;39,889999;40,849998;39,525002;1930375;35,896435;0,064;0,7684;0,4487441;0,76
41,799999;40,224998;41,375;40,220001;1910965;36,423542;0,068;0,768;0,4487441;0,76
41,945;40,529999;41,985001;40,419998;2620488;37,030384;0,068;0,7722;0,4487441;0,76
42,584999;41,919998;42,18;41,650002;2633767;37,158836;0,068;0,7705;0,4487441;0,76
42,049999;41,849998;42,584999;40,82;26899993;37,725807;0,07;0,7653;0,4487441;0,76
41,689999;41,900002;42,52;41,555;5375988;37,251854;0,069;0,7717;0,4487441;0,76
41,355;42,049999;42,115002;41,439999;2396216;36,932934;0,064;0,7759;0,4487441;0,76
40,639999;41,669998;41,889999;40,52;2799679;36,636154;0,065;0,7722;0,4487441;0,76
41,349998;41,134998;41,240002;40,404999;2222872;36,002743;0,062;0,7737;0,4487441;0,76
41,455002;40,450001;41,810001;39,880001;2224734;36,631725;0,061;0,7695;0,4487441;0,76
40,924999;41,869999;42,294998;41,259998;2238240;36,724747;0,064;0,7763;0,4487441;0,76
39,665001;41,650002;42,099998;40,880001;1996213;36,255222;0,064;0,7777;0,4487441;0,76
39,700001;40,5;40,84;39,48;3348435;35,138996;0,067;0,7824;0,4487441;0,76
41,115002;39,73;39,860001;38,505001;3368033;35,170002;0,112;0,7788;0,4487441;0,76
40,334999;39,93;41,23;39,900002;2830362;36,423542;0,07;0,7789;0,4487441;-0,15
39,25;41,055;41,290001;40,334999;2481741;35,732548;0,072;0,7783;0,4487441;-0,15
38,279999;40;40,395;39,139999;3950693;34,771351;0,074;0,778;0,4487441;-0,15
38,709999;39,014999;39,279999;37,845001;3755064;33,912037;0,075;0,7679;0,4487441;-0,15
37,599998;38,279999;39,404999;38,240002;2451022;34,292969;0,082;0,7682;0,4487441;-0,15
38,474998;37;38,189999;36,919998;10143905;33,309624;0,078;0,7658;0,4487441;-0,15
38,380001;37,799999;38,474998;37,619999;3341475;34,084778;0,082;0,7642;0,4487441;-0,15
37,654999;38,279999;38,580002;38,154999;2367993;34,000618;0,086;0,7618;0,4487441;-0,15
37,505001;38,255001;38,384998;37,18;2510289;33,358345;0,082;0,7635;0,4487441;-0,15
37,195;37,52;37,740002;37,25;1813612;33,225464;0,083;0,7642;0,4487441;-0,15
39;37,165001;37,889999;37,044998;2100546;32,95084;0,08;0,7616;0,4487441;-0,15
38,794998;38,5;39,299999;38,419998;13448819;34,549877;0,078;0,7668;0,4487441;-0,15
39,93;39;39,09;38,580002;4213754;34,368263;0,08;0,7645;0,4487441;-0,15
39,395;39,200001;39,93;38,849998;4721286;35,37376;0,083;0,7645;0,4487441;-0,15
40,615002;40,5;40,59;39,200001;3274549;34,899811;0,082;0,7674;0,4487441;-0,15
40,91;39,630001;40,75;39,52;4458794;35,980595;0,079;0,7684;0,4487441;-0,15
40,650002;40,825001;41,02;40,115002;2780375;36,241936;0,083;0,7695;0,4487441;-0,15
