DATE,AI.PA.Open,AI.PA.High,AI.PA.Low,AI.PA.Close,AI.PA.Volume,AI.PA.Adjusted,Interest.rates,ExchangeRate,PoliticalStability,Infaltion,AirLiquideDividend,REVENUE,NET.INCOME,Basic.earnings.per.share,Diluted.earnings.per.share ,TOTAL.ASSETS,INTANGIBLE.ASSETS,PPE ,CASH,TOTAL.EQUITY,NON.CURRENT.LIABILITY,Cash.flows.from.operating.activities,Net.cash.flows.from.investing.activities,Net.cash.flows.from.financing.activities ,Net.cash.and.cash.equivalents
02-01-2013,77.679604,78.226997,76.826401,77.285202,991926,63.60104,0.062,0.7553,0.4487441,-0.5,0.00,15326,1675,5.17,5.15,25004,5133,13511,1187,10445,9421,2709,-2837,-859,-855
03-01-2013,77.3013,77.333504,76.230698,76.753899,605109,63.163803,0.066,0.7637,0.4487441,-0.5,0.00,15326,1675,5.17,5.15,25004,5133,13511,1187,10445,9421,2709,-2837,-859,-855
04-01-2013,76.295097,76.834396,75.948997,76.834396,489976,63.230049,0.068,0.7666,0.4487441,-0.5,0.00,15326,1675,5.17,5.15,25004,5133,13511,1187,10445,9421,2709,-2837,-859,-855
07-01-2013,76.5849,76.5849,75.755798,76.198502,548265,62.706741,0.066,0.7635,0.4487441,-0.5,0.00,15326,1675,5.17,5.15,25004,5133,13511,1187,10445,9421,2709,-2837,-859,-855
08-01-2013,75.7397,76.407799,75.7155,75.948997,453984,62.501419,0.067,0.7653,0.4487441,-0.5,0.00,15326,1675,5.17,5.15,25004,5133,13511,1187,10445,9421,2709,-2837,-859,-855
09-01-2013,76.069702,76.278999,75.530403,75.747704,645241,62.335773,0.069,0.7667,0.4487441,-0.5,0.00,15326,1675,5.17,5.15,25004,5133,13511,1187,10445,9421,2709,-2837,-859,-855
10-01-2013,75.626999,75.916801,74.8703,74.991096,737180,61.713127,0.069,0.7567,0.4487441,-0.5,0.00,15326,1675,5.17,5.15,25004,5133,13511,1187,10445,9421,2709,-2837,-859,-855
11-01-2013,74.942703,75.031303,74.033096,74.620796,837143,61.408386,0.067,0.7493,0.4487441,-0.5,0.00,15326,1675,5.17,5.15,25004,5133,13511,1187,10445,9421,2709,-2837,-859,-855
14-01-2013,74.628799,75.023201,74.314903,74.942703,656904,61.673298,0.065,0.7481,0.4487441,-0.5,0.00,15326,1675,5.17,5.15,25004,5133,13511,1187,10445,9421,2709,-2837,-859,-855
15-01-2013,74.2183,74.628799,73.815804,74.178001,1088578,61.044003,0.064,0.7491,0.4487441,-0.5,0.00,15326,1675,5.17,5.15,25004,5133,13511,1187,10445,9421,2709,-2837,-859,-855
