,AIR.PA,FP.PA,MC.PA,OR.PA,SAN.PA
Num.Txns,16,7,17,4,15
Num.Trades,1,3,4,1,2
Net.Trading.PL,-17777.5,2345.5,-52745.01,-11910,9853
Avg.Trade.PL,-17777.5,781.83,-13186.25,-11910,4926.5
Med.Trade.PL,-17777.5,830,1550,-11910,4926.5
Largest.Winner,0,570.5,2325,0,2204.25
Largest.Loser,-176.44,0,-6154.5,-6717.5,0
Gross.Profits,0,2345.5,5425,0,9853
Gross.Losses,-17777.5,0,-58170.01,-11910,0
Std.Dev.Trade.PL,NA,191.84,29992.24,NA,5728.27
Std.Err.Trade.PL,NA,110.76,14996.12,NA,4050.5
Percent.Positive,0,100,75,0,100
Percent.Negative,100,0,25,100,0
Profit.Factor,0,NA,0.09,0,NA
Avg.Win.Trade,NA,781.83,1808.33,NA,4926.5
Med.Win.Trade,NA,830,1825,NA,4926.5
Avg.Losing.Trade,-17777.5,NA,-58170.01,-11910,NA
Med.Losing.Trade,-17777.5,NA,-58170.01,-11910,NA
Avg.Daily.PL,-147.24,505.17,-182.38,-5955,1116.14
Med.Daily.PL,-161.44,483,1550,-5955,1102.4
Std.Dev.Daily.PL,38.33,57.55,4004.44,1078.34,907.06
Std.Err.Daily.PL,22.13,33.22,2002.22,762.5,453.53
Ann.Sharpe,-60.98,139.35,-0.72,-87.67,19.53
Max.Drawdown,-45317.5,-1522,-115215.01,-16030,-10475
Profit.To.Max.Draw,-0.39,1.54,-0.46,-0.74,0.94
Avg.WinLoss.Ratio,NA,NA,0.03,NA,NA
Med.WinLoss.Ratio,NA,NA,0.03,NA,NA
Max.Equity,1440,2440.5,9345,1045,16406
Min.Equity,-43877.5,-856.5,-105870.01,-14985,-3323
End.Equity,-17777.5,2345.5,-52745.01,-11910,9853
