,BN.PA.Open,BN.PA.High,BN.PA.Low,BN.PA.Close,BN.PA.Volume,BN.PA.Adjusted
2012-12-28,49.689999,49.900002,49.360001,49.360001,863338,40.969456
2013-01-02,50.189999,50.66,50.139999,50.650002,1673754,42.040173
2013-01-03,50.5,50.5,49.825001,50.119999,1309227,41.600269
2013-01-04,50.099998,50.130001,49.869999,50,1177188,41.50066
2013-01-07,49.904999,49.985001,49.48,49.59,1339844,41.160358
2013-01-08,49.349998,49.93,49.349998,49.724998,1172185,41.272408
2013-01-09,49.919998,49.919998,49.279999,49.610001,1305774,41.17696
2013-01-10,49.740002,49.959999,49.575001,49.919998,1258239,41.434265
2013-01-11,49.759998,49.869999,49.365002,49.599998,1144799,41.168655
2013-01-14,49.669998,49.674999,49.209999,49.220001,1127432,40.853256
2013-01-15,49.23,49.98,49.23,49.834999,1714516,41.363708
2013-01-16,49.759998,50.23,49.720001,49.950001,1209617,41.459164
2013-01-17,49.924999,50.349998,49.764999,50.049999,1379024,41.542168
2013-01-18,50.049999,50.279999,49.66,49.810001,1462035,41.342964
2013-01-21,49.900002,50.509998,49.900002,50.34,801500,41.782871
2013-01-22,50.27,50.75,50.240002,50.529999,981526,41.940571
2013-01-23,50.799999,51.330002,50.759998,51.130001,1406479,42.43858
2013-01-24,51.279999,51.799999,51.150002,51.799999,1379797,42.994682
2013-01-25,51.75,52.169998,51.73,51.82,1221614,43.011288
2013-01-28,51.689999,51.689999,51.009998,51.540001,1200143,42.778881
2013-01-29,51.450001,52,51.450001,52,887043,43.16069
2013-01-30,51.939999,52.099998,51.650002,52.080002,1303951,43.227093
2013-01-31,51.75,52.07,50.860001,51.040001,2516180,42.36388
2013-02-01,51.18,51.68,51.119999,51.23,1542450,42.52158
2013-02-04,51.34,51.560001,50.299999,50.299999,1849305,41.749668
2013-02-05,50.099998,50.669998,49.875,49.959999,1858860,41.467457
2013-02-06,49.889999,50.400002,49.654999,49.895,2516975,41.413513
2013-02-07,50,51.080002,49.98,50.209999,2480845,41.674965
2013-02-08,50.419998,51.060001,50.400002,50.990002,1648475,42.322384
2013-02-11,50.84,51.279999,50.639999,50.900002,1010042,42.247669
2013-02-12,50.23,50.389999,49.810001,50.349998,1966420,41.791168
2013-02-13,50.41,50.650002,50.200001,50.360001,1449658,41.799465
2013-02-14,49.985001,50.68,49.285,50.369999,2657742,41.807766
2013-02-15,50.259998,50.84,49.970001,50.130001,1719036,41.608566
2013-02-18,49.93,50.299999,49.654999,50.189999,1326064,41.658367
2013-02-19,52,53.41,51.759998,53.150002,4497048,44.115211
2013-02-20,53,53.5,52.860001,53.060001,2018731,44.040504
2013-02-21,52.810001,53,52.279999,52.400002,2085701,43.492695
2013-02-22,52.330002,53.490002,52.130001,53.490002,1697522,44.397411
2013-02-25,53.470001,54.310001,53.330002,53.720001,2092361,44.588318
2013-02-26,52.18,53.009998,52.110001,52.18,2236945,43.310097
2013-02-27,52.41,53.040001,52.139999,52.950001,1445327,43.949203
2013-02-28,52.91,53.349998,52.34,53.189999,1692035,44.148407
2013-03-01,53.189999,53.450001,52.459999,53.110001,1193489,44.082005
2013-03-04,53.110001,53.77,52.91,53.459999,1175715,44.372509
2013-03-05,53.869999,54.799999,53.810001,54.799999,2446521,45.484726
2013-03-06,54.759998,55,54.099998,54.099998,1846164,44.903717
2013-03-07,54.209999,55.389999,54.209999,55.34,1791289,45.932938
2013-03-08,55.470001,55.779999,54.98,55.779999,1635108,46.298138
2013-03-11,55.700001,55.700001,55.189999,55.400002,1388712,45.982731
2013-03-12,55.119999,55.709999,55.099998,55.509998,1299951,46.074039
2013-03-13,55.529999,55.700001,54.970001,55.200001,1607476,45.81673
2013-03-14,55.299999,55.66,55.150002,55.66,1738133,46.198544
2013-03-15,55.610001,55.610001,55,55.09,2940564,45.725437
2013-03-18,54.25,55.34,53.73,55.049999,1891690,45.692234
2013-03-19,54.790001,55.240002,54.650002,54.740002,2086807,45.434929
2013-03-20,54.990002,55.490002,54.580002,54.810001,2078445,45.493027
2013-03-21,54.880001,54.91,54.27,54.389999,1368659,45.144421
2013-03-22,54.220001,55,53.93,54.450001,1587159,45.194221
2013-03-25,54.650002,55.220001,53.91,53.970001,1552812,44.795818
2013-03-26,53.799999,54.740002,53.549999,54.43,1421072,45.17762
2013-03-27,54.639999,54.740002,53.220001,53.810001,1752047,44.66301
2013-03-28,53.82,54.759998,53.82,54.279999,1559022,45.05312
2013-04-02,54.25,55.150002,54.189999,55.09,1765685,45.725437
2013-04-03,54.889999,55.400002,54.700001,54.810001,1324334,45.493027
2013-04-04,55.060001,55.299999,54.540001,54.709999,1330867,45.410027
2013-04-05,54.630001,54.860001,53.5,54.18,1845372,44.970123
2013-04-08,54.169998,54.98,54.02,54.27,1279211,45.044819
2013-04-09,54.5,54.68,53.200001,53.549999,2153705,44.447212
2013-04-10,53.509998,53.790001,52.98,53.669998,2881229,44.546814
2013-04-11,53.549999,54.41,53.490002,54.080002,1617040,44.887119
2013-04-12,54,54.540001,53.889999,54.27,1776590,45.044819
2013-04-15,54.099998,54.52,53.639999,54.459999,1783798,45.202518
2013-04-16,56.299999,56.669998,55.68,55.68,5580351,46.215141
2013-04-17,56.25,56.549999,54.799999,55.119999,4528827,45.750332
2013-04-18,55.240002,56.75,55.189999,56.599998,4114419,46.978752
2013-04-19,56.689999,58.720001,56.27,58.720001,3842711,48.73838
2013-04-22,58.599998,59.07,58,58.630001,2346189,48.663681
2013-04-23,58.5,59.75,58.450001,59.57,2949276,49.44389
2013-04-24,59.5,59.52,58.880001,59.25,2702498,49.178288
2013-04-25,59.060001,59.299999,57.869999,58.389999,2287375,48.464481
2013-04-26,58.080002,58.389999,57.5,57.619999,1548623,47.825363
2013-04-29,57.98,58.990002,57.740002,58.900002,1453075,48.887783
2013-04-30,58.91,59.18,57.849998,58.009998,1920894,48.149067
2013-05-02,57.48,58.209999,56.830002,57.43,2541939,48.88969
2013-05-03,57.529999,57.580002,56.880001,57.540001,1920916,48.983337
2013-05-06,57.5,57.82,57.299999,57.470001,663060,48.923744
2013-05-07,57.459999,58,57.060001,57.790001,1286729,49.196159
2013-05-08,57.740002,58.759998,57.52,58.639999,1222105,49.919758
2013-05-09,58.34,58.459999,57.919998,58.02,814806,49.391956
2013-05-10,58.23,58.709999,58.060001,58.52,964889,49.817604
2013-05-13,58.599998,59.25,58.540001,58.82,1122544,50.07299
2013-05-14,59.259998,59.549999,58.400002,58.950001,1110930,50.183659
2013-05-15,59,59.169998,58.529999,58.880001,797632,50.124065
2013-05-16,59.02,59.259998,58.57,58.869999,1122778,50.115559
2013-05-17,58.669998,58.700001,57.82,58.110001,2969419,49.468571
2013-05-20,58.169998,59.169998,57.880001,59.169998,974879,50.370941
2013-05-21,59,59.200001,58.380001,58.830002,1320508,50.081501
2013-05-22,58.779999,59.200001,58.380001,58.970001,928590,50.200684
2013-05-23,58.009998,58.490002,57.669998,58.299999,1702674,49.630318
2013-05-24,58.610001,58.900002,57.669998,58.02,1114005,49.391956
2013-05-27,58.779999,59.119999,58.490002,58.650002,712409,49.928276
2013-05-28,59,60,58.82,59.560001,1786104,50.702946
2013-05-29,59.099998,59.400002,58.23,58.400002,1302677,49.715443
2013-05-30,58.040001,58.560001,57.599998,57.599998,1593200,49.034416
2013-05-31,57.799999,57.799999,56.5,56.740002,2196067,48.302303
2013-06-03,56.5,57.130001,55.330002,56.049999,1727357,47.714909
2013-06-04,56.310001,57.169998,56.25,56.689999,1257784,48.259735
2013-06-05,56.279999,56.669998,55.360001,55.360001,1548965,47.127522
2013-06-06,56.5,57.48,56.450001,56.5,2454186,48.097996
2013-06-07,56.66,57.66,56.099998,57.34,1844242,48.813072
2013-06-10,56.919998,57.639999,56.5,57.439999,1391363,48.898205
2013-06-11,57.459999,57.459999,55.939999,56.700001,1737609,48.26825
2013-06-12,56.82,57.759998,56.68,57.23,1324689,48.71944
2013-06-13,56.689999,57.25,56.369999,57.139999,1468863,48.642818
2013-06-14,57.25,57.259998,56.369999,56.66,1127160,48.2342
2013-06-17,56.790001,58.360001,56.790001,58.220001,1746479,49.562218
2013-06-18,57.639999,57.93,57.34,57.599998,1456904,49.034416
2013-06-19,57.860001,58.02,56.700001,57.889999,1398386,49.281288
2013-06-20,56.740002,56.900002,54.98,55.119999,2279436,46.923206
2013-06-21,56.639999,57.869999,56.209999,56.23,4702589,47.868145
2013-06-24,56.139999,56.599998,54.709999,55.09,2528653,46.897675
2013-06-25,55.400002,55.43,54.630001,55.09,1840631,46.897675
2013-06-26,55.099998,56.200001,54.860001,56.040001,1643761,47.706394
2013-06-27,55.959999,57.380001,55.82,57.130001,1693341,48.634304
2013-06-28,57.240002,57.98,56.799999,57.66,2042395,49.085491
2013-07-01,57.68,58.310001,57.419998,57.470001,1353176,48.923744
2013-07-02,56.610001,56.889999,56.150002,56.59,1729225,48.17461
2013-07-03,56.459999,56.5,54.5,55,3058906,46.82106
2013-07-04,55.43,56.830002,55.040001,56.419998,2465851,48.029888
2013-07-05,56.349998,56.75,55.5,55.5,1588617,47.2467
2013-07-08,55.700001,56.470001,55.560001,56.110001,1589333,47.765991
2013-07-09,56.209999,56.639999,55.939999,56.349998,1426513,47.970299
2013-07-10,56.41,57.25,56.34,56.990002,1448760,48.515129
2013-07-11,57.66,57.93,56.82,57.18,1859116,48.676872
2013-07-12,57.669998,57.75,56.919998,57,910653,48.523636
2013-07-15,57.25,57.419998,56.889999,57.360001,946228,48.830109
2013-07-16,57.310001,57.41,56.68,56.779999,934368,48.336357
2013-07-17,56.900002,57.470001,56.52,57.400002,1104999,48.864155
2013-07-18,57.220001,57.869999,56.849998,57.849998,1002270,49.247234
2013-07-19,57.880001,57.93,57.080002,57.389999,1297779,48.85564
2013-07-22,57.5,57.869999,57.290001,57.639999,967700,49.068466
2013-07-23,57.52,57.900002,57.349998,57.400002,937588,48.864155
2013-07-24,57.669998,58.709999,57.5,58.41,1787756,49.723961
2013-07-25,58.5,58.82,57.34,57.68,1716604,49.102516
2013-07-26,58.049999,58.560001,57.389999,57.459999,1501818,48.915234
2013-07-29,59,59.75,58.619999,59.27,2996314,50.456066
2013-07-30,59.799999,59.98,59.25,59.650002,1410902,50.779564
2013-07-31,59.419998,59.610001,59.02,59.400002,1629085,50.566738
2013-08-01,59.529999,60.27,59.529999,60.07,1197578,51.137108
2013-08-02,60.119999,60.450001,59.91,60.389999,1195901,51.409515
2013-08-05,59.439999,60.009998,59.290001,59.419998,1524013,50.583763
2013-08-06,59.32,60.07,59.23,59.630001,1156924,50.762531
2013-08-07,59.450001,59.709999,59.139999,59.450001,1092829,50.609303
2013-08-08,59.450001,59.450001,58.860001,59.07,1019207,50.285812
2013-08-09,59.200001,59.419998,58.790001,59.259998,918575,50.447559
2013-08-12,59.150002,59.209999,58.560001,59.119999,649053,50.328373
2013-08-13,59.439999,59.779999,59.200001,59.68,756867,50.805099
2013-08-14,59.75,59.990002,59.18,59.200001,1116462,50.396481
2013-08-15,59.02,59.189999,58.369999,58.970001,773267,50.200684
2013-08-16,59.110001,59.599998,58.830002,59.27,1190195,50.456066
2013-08-19,59.439999,59.450001,58.59,58.91,697169,50.149605
2013-08-20,58.799999,58.799999,57.860001,58.150002,1182529,49.502625
2013-08-21,58.23,58.41,57.959999,58.139999,762410,49.49411
2013-08-22,58.119999,58.689999,58.119999,58.389999,1036123,49.706936
2013-08-23,58.349998,58.48,57.799999,58.48,682881,49.783546
2013-08-26,58.48,58.610001,57.939999,58.490002,345691,49.792061
2013-08-27,58.34,58.48,57.290001,57.41,1617781,48.872669
2013-08-28,57.48,57.5,56.75,57.049999,1222150,48.5662
2013-08-29,57.040001,57.450001,56.720001,57.259998,748922,48.744972
2013-08-30,56,56.900002,55.84,56.34,1894230,47.961784
2013-09-02,56.889999,57.099998,56.52,56.75,1060948,48.310814
2013-09-03,56.509998,56.830002,56.09,56.200001,1408579,47.842606
2013-09-04,56,56.200001,55.220001,56.02,1734957,47.689377
2013-09-05,56,56.27,55.450001,55.709999,1606402,47.425472
2013-09-06,55.77,56.34,55.400002,56.200001,1458284,47.842606
2013-09-09,55.68,55.700001,54.91,55.290001,1639412,47.067932
2013-09-10,55.810001,56.630001,55.549999,56.349998,1787511,47.970299
2013-09-11,56.099998,56.119999,55.619999,55.959999,1415259,47.638294
2013-09-12,55.91,56.470001,55.799999,56.080002,1158491,47.740452
2013-09-13,56.310001,56.580002,55.990002,56.049999,1587151,47.714909
2013-09-16,56.25,56.68,55.549999,56.259998,1726615,47.893681
2013-09-17,56,56.790001,56,56.41,1044493,48.021374
2013-09-18,56.59,57.740002,56.459999,57.049999,2013175,48.5662
2013-09-19,57.790001,57.950001,57.330002,57.720001,2228476,49.13657
2013-09-20,57.619999,57.759998,57.009998,57.759998,4552079,49.17062
2013-09-23,57.810001,57.98,57.16,57.400002,1950951,48.864155
2013-09-24,57.32,57.720001,57.169998,57.41,1275585,48.872669
2013-09-25,57.459999,57.529999,56.490002,56.75,1188864,48.310814
2013-09-26,56.799999,57,55.889999,56.18,1501752,47.825581
2013-09-27,56.029999,56.34,55.139999,55.439999,1662114,47.195625
2013-09-30,55.080002,55.639999,55.009998,55.639999,1562356,47.365879
2013-10-01,55.099998,56.049999,54.959999,55.810001,1891887,47.510601
2013-10-02,55.709999,55.709999,54.720001,54.98,1558716,46.804024
2013-10-03,55.119999,55.32,54.779999,54.810001,1037339,46.659313
2013-10-04,54.889999,55.66,54.82,55.470001,1503310,47.221161
2013-10-07,55.110001,55.119999,54.630001,54.810001,1193479,46.659313
2013-10-08,54.689999,54.91,53.91,54,1718933,45.969765
2013-10-09,53.98,54,52.82,53,2020831,45.118473
2013-10-10,53.279999,53.759998,52.849998,53.41,2222822,45.467499
2013-10-11,53.740002,53.740002,52.810001,53.049999,1600128,45.16103
2013-10-14,52.900002,53.68,52.549999,53.48,1862202,45.527088
2013-10-15,53.540001,53.610001,52.700001,53.040001,2284713,45.152523
2013-10-16,50.32,51.849998,50.299999,51.830002,4744194,44.122459
2013-10-17,51.220001,52.66,51.16,52.549999,2366807,44.735386
2013-10-18,53,53.639999,52.700001,53.57,1994121,45.603703
2013-10-21,53.5,53.540001,52.98,53.400002,1597098,45.458988
2013-10-22,53.330002,54.299999,53.209999,54.209999,2001254,46.148537
2013-10-23,54,54.540001,53.900002,54.540001,1737901,46.429459
2013-10-24,54.740002,54.98,54.529999,54.830002,1607561,46.676334
2013-10-25,54.93,55.48,54.830002,55.299999,1772824,47.076439
2013-10-28,55.529999,55.650002,55.080002,55.540001,1028153,47.28075
2013-10-29,55.610001,56.130001,55.470001,55.75,1339646,47.459522
2013-10-30,55.68,55.73,54.029999,54.23,2584245,46.165558
2013-10-31,53.860001,54.869999,53.799999,54.619999,1526472,46.497559
2013-11-01,54.830002,54.869999,54.18,54.310001,751331,46.233665
2013-11-04,54,54.330002,53.799999,53.860001,1251187,45.850582
2013-11-05,54.040001,54.040001,53,53.419998,1454612,45.476013
2013-11-06,53.529999,54.080002,53.419998,53.790001,1342215,45.790993
2013-11-07,53.700001,54.400002,53.459999,53.599998,1397166,45.629246
2013-11-08,53.400002,53.91,53.189999,53.720001,1272533,45.731403
2013-11-11,53.75,54.32,53.709999,54.119999,805071,46.071915
2013-11-12,54,54.400002,53.91,53.959999,927389,45.935711
2013-11-13,53.98,54.369999,53.619999,54.029999,991055,45.9953
2013-11-14,54.720001,54.869999,54.220001,54.549999,1147788,46.437973
2013-11-15,54.419998,55.16,53.959999,55.029999,2587905,46.846592
2013-11-18,55.200001,55.98,54.900002,55.700001,1697558,47.416958
2013-11-19,55.639999,55.68,55.23,55.52,1067137,47.263729
2013-11-20,55.509998,55.830002,55.119999,55.32,1227232,47.093468
2013-11-21,55.490002,55.490002,54.459999,54.66,1622013,46.53162
2013-11-22,54.889999,55.110001,54.41,54.860001,949664,46.701874
2013-11-25,55.189999,55.200001,54.759998,54.889999,1072228,46.727409
2013-11-26,54.790001,54.849998,53.740002,53.779999,1993533,45.782478
2013-11-27,53.939999,54.060001,53.189999,53.639999,1805144,45.6633
2013-11-28,53.509998,54.07,53.509998,53.68,806945,45.697346
2013-11-29,53.52,53.889999,53.419998,53.48,1320373,45.527088
2013-12-02,53.669998,53.919998,53.07,53.380001,1118992,45.441959
2013-12-03,53.27,53.43,52.380001,52.400002,1872672,44.607697
2013-12-04,52.939999,53.209999,52.110001,52.34,1812703,44.556618
2013-12-05,52.400002,52.950001,52.310001,52.310001,1689739,44.531078
2013-12-06,52.450001,52.700001,51.939999,52.32,1522763,44.539593
