,BNP.PA.Open,BNP.PA.High,BNP.PA.Low,BNP.PA.Close,BNP.PA.Volume,BNP.PA.Adjusted
2012-12-28,43.709999,43.709999,42.224998,42.334999,2604935,31.265284
2013-01-02,43.93,44.564999,43.419998,44.459999,3604846,32.834641
2013-01-03,44.240002,44.544998,44.014999,44.459999,1719620,32.834641
2013-01-04,44.360001,44.720001,43.955002,44.384998,1969483,32.779255
2013-01-07,45.25,46.064999,45.119999,45.209999,4186011,33.388531
2013-01-08,45.154999,46.555,45.064999,45.695,4068024,33.746712
2013-01-09,45.915001,46.334999,44.830002,45.639999,4651803,33.7061
2013-01-10,45.700001,46.439999,44.82,45.575001,4345922,33.658096
2013-01-11,45.715,45.98,44.865002,45.869999,4009052,33.875957
2013-01-14,46.064999,46.349998,45.505001,45.634998,3295970,33.702404
2013-01-15,45.200001,45.32,44.154999,44.23,5905055,32.664787
2013-01-16,44.235001,44.314999,43.23,44.209999,4863845,32.650013
2013-01-17,44.25,45.625,44.224998,45.625,4222018,33.695023
2013-01-18,46.080002,46.619999,45.57,46.235001,4478755,34.145519
2013-01-21,46.360001,46.5,45.900002,46.450001,1442582,34.304306
2013-01-22,46.5,46.630001,45.775002,46.294998,3001194,34.189831
2013-01-23,45.939999,46.195,45.115002,45.115002,3860879,33.318375
2013-01-24,45.150002,46.330002,44.77,46.055,3120269,34.012585
2013-01-25,45.974998,46.869999,45.849998,46.665001,3538570,34.463081
2013-01-28,46.799999,47.865002,46.669998,47.665001,3392320,35.201603
2013-01-29,47.709999,47.915001,46.639999,47.244999,3596990,34.891422
2013-01-30,47.404999,47.465,45.790001,46.205002,4236583,34.123363
2013-01-31,46.16,46.75,45.450001,46.209999,3898523,34.127056
2013-02-01,46.465,47.25,46.34,46.755001,4388677,34.529552
2013-02-04,46.889999,47.060001,44.695,44.695,5484208,33.008194
2013-02-05,44.415001,45.970001,44.299999,45.525002,3976399,33.621166
2013-02-06,45.59,45.654999,43.68,44.365002,4596368,32.764481
2013-02-07,44.595001,45.200001,43.52,43.564999,3735901,32.173668
2013-02-08,43.799999,44.915001,43.720001,44.595001,3663641,32.934345
2013-02-11,44.5,45.200001,44.235001,44.75,2576821,33.048813
2013-02-12,44.584999,46.130001,44.400002,46.035,4091394,33.997818
2013-02-13,46.029999,46.119999,45.279999,45.845001,3818510,33.857494
2013-02-14,46.299999,47.5,46.200001,46.75,7947608,34.525856
2013-02-15,46.560001,47.215,46.005001,46.005001,4966090,33.975658
2013-02-18,45.974998,46,45.139999,45.380001,3166507,33.514084
