,DG.PA.Open,DG.PA.High,DG.PA.Low,DG.PA.Close,DG.PA.Volume,DG.PA.Adjusted
2012-12-28,36.575001,36.599998,35.68,35.695,1126609,28.360119
2013-01-02,36.599998,36.84,36.355,36.84,1976015,29.269838
2013-01-03,36.799999,37.049999,36.419998,37,1435165,29.396961
2013-01-04,36.715,37.145,36.625,37.119999,1575197,29.492302
2013-01-07,37.474998,37.52,36.560001,36.764999,1311218,29.210253
2013-01-08,36.580002,37.09,36.575001,36.665001,998306,29.1308
2013-01-09,36.845001,37.099998,36.724998,37.099998,1248813,29.476419
2013-01-10,37.150002,37.314999,36.880001,36.950001,1234472,29.357237
2013-01-11,37,37.205002,36.860001,37.095001,1116325,29.472441
2013-01-14,37.334999,37.375,37.029999,37.235001,965015,29.583673
2013-01-15,37,37.544998,36.950001,37.294998,1598955,29.63134
2013-01-16,37.389999,37.494999,36.900002,37.310001,1223247,29.643263
2013-01-17,37.310001,37.895,37.150002,37.794998,1508170,30.028597
2013-01-18,37.889999,37.889999,37.450001,37.689999,1481289,29.945179
2013-01-21,37.785,37.959999,37.509998,37.959999,745127,30.159691
2013-01-22,37.865002,37.985001,37.325001,37.865002,1539481,30.084221
2013-01-23,37.849998,37.924999,37.439999,37.779999,1238274,30.016684
2013-01-24,37.785,38.049999,37.474998,37.900002,1091812,30.112024
2013-01-25,37.895,38.494999,37.744999,38.494999,1818208,30.584759
2013-01-28,38.384998,38.419998,38.105,38.18,1238729,30.334486
2013-01-29,38.25,38.41,38.035,38.224998,875553,30.370243
2013-01-30,38.345001,38.5,37.764999,37.884998,1191749,30.100105
2013-01-31,37.855,38.049999,37.52,37.525002,1335831,29.814085
2013-02-01,37.505001,38.220001,37.5,37.98,1565427,30.175585
2013-02-04,38,38,36.200001,36.224998,2766186,28.781214
2013-02-05,36.205002,36.970001,36.18,36.615002,1808766,29.091084
2013-02-06,36.195,36.244999,35.09,35.404999,3567510,28.129715
2013-02-07,35.580002,35.849998,35,35.064999,2291131,27.859581
2013-02-08,35.174999,35.744999,35.09,35.5,1724929,28.205194
2013-02-11,35.540001,35.775002,35.16,35.400002,1091787,28.125744
2013-02-12,35.384998,35.915001,35.209999,35.915001,1317350,28.53492
2013-02-13,36.080002,36.080002,35.450001,35.59,1228621,28.276701
2013-02-14,35.415001,35.834999,35.355,35.735001,1509230,28.391905
2013-02-15,35.509998,35.764999,35.005001,35.005001,2090127,27.811913
2013-02-18,35.005001,35.259998,34.700001,35.259998,1071780,28.014511
2013-02-19,35.099998,35.810001,35.035,35.810001,1631366,28.451494
2013-02-20,35.715,35.794998,35.189999,35.224998,1541464,27.986706
2013-02-21,34.869999,34.994999,34.150002,34.494999,2222563,27.406706
2013-02-22,34.564999,35.610001,34.564999,35.610001,1879617,28.292585
2013-02-25,35.744999,36.514999,35.669998,35.950001,2334062,28.562723
2013-02-26,34.915001,35.314999,34.674999,34.799999,2720313,27.649031
2013-02-27,34.950001,35.619999,34.630001,35.599998,1854294,28.284645
