date,FP.PA.Open,FP.PA.High,FP.PA.Low,FP.PA.Close,FP.PA.Volume,FP.PA.Adjusted
28/12/2012,39.630001,39.75,38.855,38.91,3015559,26.978865
02/01/2013,39.794998,40.099998,39.450001,39.974998,5127884,27.717295
03/01/2013,39.849998,39.974998,39.470001,39.855,2898938,27.634102
04/01/2013,39.880001,40,39.68,39.82,3317539,27.609829
07/01/2013,39.744999,39.775002,39.080002,39.154999,4191402,27.148748
08/01/2013,39.09,39.43,39.029999,39.384998,2661710,27.308222
09/01/2013,39.639999,39.720001,39.445,39.529999,3292952,27.408756
10/01/2013,39.619999,39.775002,39.355,39.549999,3608802,27.422617
11/01/2013,39.595001,39.73,39.240002,39.485001,3145847,27.377558
14/01/2013,39.779999,39.84,39.34,39.610001,3061695,27.464226
15/01/2013,39.555,40,39.459999,39.73,4311762,27.547434
16/01/2013,39.825001,39.994999,39.610001,39.895,3036350,27.661835
17/01/2013,39.869999,39.970001,39.634998,39.709999,3498234,27.533554
18/01/2013,39.965,39.965,39.264999,39.310001,4796723,27.256214
21/01/2013,39.474998,39.59,39.285,39.419998,1691022,27.332483
22/01/2013,39.345001,39.564999,39.075001,39.490002,2522763,27.381027
23/01/2013,39.650002,39.650002,39.25,39.419998,2612949,27.332483
24/01/2013,39.349998,39.735001,39.16,39.735001,2654389,27.550898
25/01/2013,39.564999,39.985001,39.525002,39.825001,3420231,27.613308
28/01/2013,39.834999,39.919998,39.494999,39.494999,2989202,27.384487
29/01/2013,39.514999,40.345001,39.5,40.134998,4727889,27.828245
30/01/2013,40.200001,40.82,40.150002,40.619999,5751960,28.164526
31/01/2013,40.450001,40.759998,39.93,39.93,6875297,27.686098
01/02/2013,39.950001,40.48,39.645,40.16,4323932,27.845577
04/02/2013,40.189999,40.330002,39,39,6073779,27.041281
05/02/2013,39.009998,39.73,38.959999,39.450001,4379289,27.353289
06/02/2013,39.424999,39.584999,38.665001,38.895,5048713,26.968468
07/02/2013,39.110001,39.43,38.369999,38.404999,5377081,26.628723
08/02/2013,38.404999,38.709999,38.209999,38.380001,4851318,26.611387
11/02/2013,38.220001,38.334999,37.98,38.16,4141133,26.458843
12/02/2013,38.110001,38.369999,38.029999,38.360001,4485462,26.597523
13/02/2013,38.889999,38.895,38.119999,38.505001,5527988,26.698055
14/02/2013,38.205002,38.404999,37.625,37.735001,6490137,26.164164
15/02/2013,37.830002,37.904999,37.16,37.299999,7321322,25.862547
18/02/2013,37.490002,37.630001,37.040001,37.445,3110931,25.963089
19/02/2013,37.32,38.470001,37.314999,38.299999,6366987,26.555914
20/02/2013,38.400002,38.445,37.860001,37.955002,4250584,26.316704
21/02/2013,37.654999,37.700001,37.165001,37.23,6167478,25.814011
22/02/2013,37.525002,38.240002,37.5,38.060001,5461439,26.389509
25/02/2013,38.18,39.18,38.150002,38.41,6305883,26.632187
26/02/2013,37.724998,37.915001,37.169998,37.195,8304812,25.789751
27/02/2013,37.529999,38.049999,37.325001,38.005001,5475658,26.351374
28/02/2013,38.150002,38.375,37.724998,38.294998,5121760,26.552454
01/03/2013,38.16,38.525002,37.825001,38.314999,5060081,26.566313
04/03/2013,38.009998,38.400002,38.009998,38.169998,2818133,26.46578
05/03/2013,38.5,39.115002,38.439999,39,5039228,27.041281
06/03/2013,39.130001,39.355,38.970001,39.075001,3616257,27.093277
07/03/2013,39.259998,39.264999,38.814999,39.16,3699829,27.152212
08/03/2013,39.305,39.5,38.959999,39.189999,4120369,27.173014
11/03/2013,39.014999,39.375,39.014999,39.314999,3169736,27.25968
12/03/2013,39.23,39.474998,39.130001,39.349998,3314248,27.283945
13/03/2013,39.435001,39.48,38.919998,39.209999,3129485,27.186884
14/03/2013,39.400002,39.595001,39.299999,39.564999,4500077,27.433018
15/03/2013,39.535,39.544998,38.98,39.165001,7815901,27.155676
18/03/2013,38.139999,38.860001,37.91,38.724998,5223660,27.261272
19/03/2013,38.549999,38.724998,38.27,38.395,5050343,27.028967
20/03/2013,38.73,38.935001,38.419998,38.73,3834080,27.264793
21/03/2013,38.650002,38.805,38.224998,38.25,5175851,26.926889
22/03/2013,38.330002,38.505001,38.080002,38.099998,4596773,26.821289
25/03/2013,38.584999,38.855,37.799999,37.799999,5359299,26.6101
26/03/2013,38.035,38.134998,37.599998,37.700001,5966158,26.539713
27/03/2013,37.955002,38.095001,37.130001,37.439999,6256551,26.356674
28/03/2013,37.525002,37.794998,37.185001,37.355,6351612,26.296833
02/04/2013,37.564999,38.345001,37.5,38.200001,6008285,26.891687
03/04/2013,38,38.105,37.505001,37.505001,4551117,26.402435
04/04/2013,37.560001,38.119999,37.27,37.32,4288695,26.272194
05/04/2013,37.27,37.59,36.715,36.744999,6078230,25.867413
08/04/2013,36.904999,37.215,36.75,36.75,3427195,25.870934
09/04/2013,37.075001,37.200001,36.82,37.110001,3350769,26.124363
10/04/2013,37.25,37.669998,37.200001,37.459999,4853079,26.37075
11/04/2013,37.465,37.66,37.215,37.505001,3698572,26.402435
12/04/2013,37.535,37.744999,37.07,37.189999,4223265,26.180677
15/04/2013,37.240002,37.325001,36.305,36.549999,4715286,25.730141
16/04/2013,36.325001,36.73,36.185001,36.185001,3985258,25.47319
17/04/2013,36.355,36.400002,35.174999,35.25,7115606,24.81497
18/04/2013,35.68,35.700001,35.224998,35.279999,4307667,24.836088
19/04/2013,35.66,35.75,35.355,35.540001,6406229,25.019129
22/04/2013,35.889999,35.985001,35.52,35.790001,3318954,25.195118
23/04/2013,35.825001,36.945,35.705002,36.945,6115538,26.008209
24/04/2013,36.994999,37.945,36.970001,37.764999,6702717,26.585463
25/04/2013,37.779999,38.220001,37.73,38.099998,4783778,26.821289
26/04/2013,37.514999,37.849998,37.200001,37.549999,5147859,26.434113
29/04/2013,37.775002,38.185001,37.674999,38.125,4071389,26.838898
