date,MC.PA.Open,MC.PA.High,MC.PA.Low,MC.PA.Close,MC.PA.Volume,MC.PA.Adjusted
28/12/2012,139.899994,140.399994,137.649994,137.800003,390584,118.200035
02/01/2013,140.800003,142.850006,140.300003,142.149994,737152,121.931305
03/01/2013,141.550003,142.25,140.600006,141.149994,467638,121.073532
04/01/2013,140.649994,141.850006,139.300003,141.850006,564865,121.673965
07/01/2013,141.399994,142,139.600006,140.149994,510513,120.215752
08/01/2013,139.600006,141,139,139.399994,463908,119.572449
09/01/2013,138.550003,138.949997,137.449997,138.050003,733785,118.414467
10/01/2013,138.399994,138.5,135.75,136.600006,759358,117.170708
11/01/2013,136.75,137.850006,136.600006,137.850006,476392,118.242905
14/01/2013,137.550003,137.800003,135.550003,137,630617,117.513817
15/01/2013,137.25,139.449997,137,139,735021,119.229347
16/01/2013,139.350006,140.899994,138.899994,140.5,500610,120.515968
17/01/2013,140.149994,142.399994,139.949997,142.199997,537476,121.974197
18/01/2013,142.5,143.399994,141.449997,141.449997,577447,121.330879
21/01/2013,139.800003,140,137.899994,140,567615,120.087097
22/01/2013,140.600006,140.850006,138.800003,139.300003,558709,119.486679
23/01/2013,139.800003,140,137.25,138.399994,567145,118.714676
24/01/2013,137.899994,140.550003,137.75,139.600006,564985,119.74398
25/01/2013,139.550003,140.949997,139.300003,140.850006,578547,120.816208
28/01/2013,141.449997,141.449997,139.699997,140.100006,480872,120.172882
29/01/2013,140.399994,140.800003,139.5,140.699997,415147,120.687546
30/01/2013,141.199997,141.199997,138.5,139.5,690158,119.658218
31/01/2013,139.050003,140.899994,138.550003,138.850006,1090762,119.100677
01/02/2013,136.850006,140.850006,136,139.850006,1215364,119.958435
04/02/2013,140.050003,140.100006,134,134,1303933,114.940529
05/02/2013,133.550003,135.850006,133.550003,135,718668,115.798279
06/02/2013,135.350006,135.449997,131.199997,132,1144697,113.224991
07/02/2013,131.699997,132.75,130.199997,130.75,912662,112.152779
08/02/2013,130.899994,133.800003,130.550003,133.100006,752254,114.168518
11/02/2013,132.300003,133,130.75,131.350006,563749,112.667435
12/02/2013,131.100006,133.449997,131,133,703214,114.082764
13/02/2013,134,134.5,132.199997,133.550003,659214,114.554527
14/02/2013,133.699997,133.699997,131.699997,131.949997,540273,113.182098
15/02/2013,131.399994,134.199997,131.300003,133,855806,114.082764
18/02/2013,132.600006,132.600006,131.350006,132.350006,453890,113.5252
19/02/2013,131.800003,134.399994,131.75,133.800003,737534,114.768967
20/02/2013,133.399994,134.649994,131.800003,132.5,613914,113.653862
21/02/2013,131.300003,131.699997,129.050003,130.550003,955150,111.981224
22/02/2013,131.199997,132.699997,131,132.449997,621747,113.61097
25/02/2013,132.75,135.449997,132.5,133.600006,940670,114.59742
26/02/2013,129.600006,132,129.100006,130.75,1006676,112.152779
27/02/2013,130.949997,131.399994,129.550003,131.399994,788176,112.710327
28/02/2013,132.100006,132.649994,131.199997,131.899994,757773,113.139206
01/03/2013,132.050003,133.199997,130.199997,131.399994,583778,112.710327
04/03/2013,130.5,132,129.550003,131.399994,508534,112.710327
05/03/2013,132,134.5,132,133.800003,1008316,114.768967
06/03/2013,135,136.149994,133.75,134.25,719543,115.154953
