date,OR.PA.Open,OR.PA.High,OR.PA.Low,OR.PA.Close,OR.PA.Volume,OR.PA.Adjusted
28/12/2012,105.800003,106.199997,104.699997,104.800003,287532,92.523727
02/01/2013,105.5,107.5,105.349998,107.5,655291,94.90744
03/01/2013,107.5,107.5,105.25,105.400002,464918,93.053444
04/01/2013,105.099998,105.650002,104.550003,105.650002,408067,93.274155
07/01/2013,105.25,105.349998,103.75,104.199997,504076,91.994011
08/01/2013,103.900002,105,103.650002,104.5,306864,92.258865
09/01/2013,105.050003,105.550003,104.650002,105.25,467242,92.921013
10/01/2013,105.099998,105.25,104,104.199997,450257,91.994011
11/01/2013,104,104.599998,103.699997,103.75,452964,91.596725
14/01/2013,104.349998,105.349998,103.849998,104.949997,302420,92.656158
15/01/2013,105.099998,106.300003,104.949997,106,482192,93.58316
16/01/2013,105.849998,107.400002,105.800003,106.650002,425943,94.157021
17/01/2013,106.650002,108.849998,106.400002,108.25,533720,95.569588
18/01/2013,109,110.150002,108,108.300003,619246,95.613739
21/01/2013,108.699997,109.699997,108.099998,109.550003,305743,96.717308
22/01/2013,109.300003,109.599998,108.5,108.5,422234,95.790306
23/01/2013,108.900002,110,108.449997,109.650002,413947,96.805611
24/01/2013,109.650002,110.75,109.25,110.25,392851,97.335312
25/01/2013,110,111.849998,110,111.099998,451234,98.085739
28/01/2013,111,111.900002,110.849998,111.5,436671,98.438889
29/01/2013,111.400002,113.150002,110.599998,113.150002,442020,99.895599
30/01/2013,113.150002,114.5,112.449997,113.550003,546383,100.248756
31/01/2013,113.050003,113.400002,109.400002,109.400002,1039189,96.584885
01/02/2013,109.699997,112,109.699997,111.900002,645477,98.79203
04/02/2013,112,112,108.599998,108.599998,696468,95.878586
05/02/2013,108.5,111.099998,108.400002,111,655908,97.997459
06/02/2013,111,111.099998,108.949997,109.400002,554605,96.584885
07/02/2013,108.050003,109.75,107.550003,108.099998,591186,95.437164
08/02/2013,108.099998,109.050003,107.699997,108.599998,697934,95.878586
11/02/2013,109.949997,110,107.75,107.949997,588958,95.304741
12/02/2013,110,114,109.800003,112.050003,1203714,98.924469
13/02/2013,110,113,109.949997,112.5,537499,99.321762
14/02/2013,112.300003,112.949997,111.099998,111.099998,543829,98.085739
15/02/2013,110.849998,111.949997,110.349998,110.5,533995,97.556023
18/02/2013,110,110.449997,109.349998,110.050003,412232,97.158745
19/02/2013,109.5,112,109.25,111.699997,547260,98.615471
20/02/2013,111.849998,112.900002,111.5,111.800003,490521,98.703751
21/02/2013,110.25,110.699997,109.199997,109.75,699336,96.893883
22/02/2013,110,112.599998,109.949997,112.599998,518423,99.410042
25/02/2013,112.599998,115.900002,112.25,114.699997,984360,101.264046
