,SAF.PA.Open,SAF.PA.High,SAF.PA.Low,SAF.PA.Close,SAF.PA.Volume,SAF.PA.Adjusted
2012-12-28,32.445,32.639999,32.400002,32.48,462304,28.416075
2013-01-02,32.849998,33.330002,32.82,33.259998,705192,29.098476
2013-01-03,33.259998,33.279999,33.040001,33.224998,279394,29.067862
2013-01-04,33.134998,33.209999,32.939999,33.18,352880,29.028488
2013-01-07,33,33.009998,32.794998,32.889999,565457,28.774771
2013-01-08,32.875,33.290001,32.759998,32.904999,485394,28.787899
2013-01-09,32.990002,33.299999,32.98,33.200001,457751,29.045986
2013-01-10,33.165001,33.380001,32.919998,33.110001,401781,28.967245
2013-01-11,33.115002,33.16,32.849998,33.154999,409553,29.006618
2013-01-14,33.200001,33.27,33.060001,33.200001,370718,29.045986
2013-01-15,33.099998,33.294998,32.834999,32.84,437712,28.731033
2013-01-16,32.904999,33.535,32.904999,33.43,619493,29.247213
2013-01-17,33.334999,33.814999,33.154999,33.705002,558541,29.487803
2013-01-18,33.799999,34.029999,33.555,33.955002,644497,29.706526
2013-01-21,34.029999,34.134998,33.654999,33.740002,360212,29.518427
2013-01-22,33.744999,34.014999,33.744999,33.904999,464261,29.662773
2013-01-23,33.895,34.07,33.744999,33.939999,399397,29.693396
2013-01-24,33.84,34.029999,33.814999,33.974998,477082,29.724018
2013-01-25,33.900002,34.549999,33.84,34.450001,536499,30.139587
2013-01-28,34.759998,34.869999,34.555,34.634998,662820,30.301441
2013-01-29,34.695,34.724998,34.605,34.654999,512337,30.318935
2013-01-30,34.689999,34.740002,34.130001,34.25,644882,29.964613
2013-01-31,33.849998,34.080002,33.419998,33.814999,863972,29.584032
2013-02-01,33.790001,34.375,33.560001,34.099998,1025884,29.833376
2013-02-04,34.029999,34.040001,33.25,33.25,750706,29.089731
2013-02-05,33.169998,33.965,33.154999,33.950001,708236,29.702147
2013-02-06,34,34.18,33.599998,33.705002,774487,29.487803
2013-02-07,33.735001,33.994999,33.560001,33.59,690070,29.387188
2013-02-08,33.735001,33.845001,33.560001,33.744999,644928,29.522797
2013-02-11,33.610001,33.764999,33.23,33.400002,671242,29.22097
2013-02-12,33.305,33.380001,33.064999,33.325001,608493,29.15535
2013-02-13,33.400002,33.66,33.18,33.439999,634500,29.255959
2013-02-14,33.400002,33.93,33.23,33.845001,633074,29.610285
2013-02-15,33.724998,34.314999,33.700001,34.215,958745,29.933987
2013-02-18,34.145,34.34,34.035,34.25,536185,29.964613
2013-02-19,34.200001,35.544998,34.099998,35.455002,919367,31.018841
2013-02-20,35,35.43,34.810001,35.07,740006,30.682005
2013-02-21,35.07,35.07,33.224998,34,1759219,29.745895
2013-02-22,34.115002,34.330002,33.880001,34.195,1033196,29.916494
2013-02-25,34.299999,34.715,34.240002,34.630001,1021348,30.297066
2013-02-26,33.98,34.564999,33.810001,34.34,699873,30.04335
2013-02-27,34.470001,34.82,34.205002,34.794998,771823,30.44142
2013-02-28,35,35.384998,34.994999,35.080002,1436659,30.690758
2013-03-01,35.794998,36.494999,35.285,36.145,1465344,31.622507
2013-03-04,36.060001,36.16,35.799999,36.005001,584960,31.500025
2013-03-05,36.154999,36.549999,36.139999,36.200001,684405,31.67063
2013-03-06,36.330002,36.654999,36.27,36.34,526223,31.793104
2013-03-07,36.395,36.48,36.049999,36.060001,645166,31.548145
2013-03-08,36.200001,36.369999,35.360001,35.455002,858887,31.018841
2013-03-11,34.950001,35.32,34.514999,35.32,936160,30.90073
2013-03-12,35.195,35.294998,34.764999,35.095001,788703,30.703888
2013-03-13,35.07,35.849998,35.07,35.744999,880389,31.272556
2013-03-14,35.799999,35.919998,35.355,35.494999,651241,31.053833
2013-03-15,35.735001,36.115002,35.389999,36.105,1129118,31.587505
2013-03-18,35.834999,36.950001,35.549999,36.5,897860,31.933088
2013-03-19,36.404999,36.404999,35.654999,35.904999,702827,31.412535
2013-03-20,36,36.095001,35.23,35.595001,1005115,31.141319
2013-03-21,35.560001,35.724998,35.139999,35.674999,831400,31.211313
2013-03-22,35.650002,35.990002,35.544998,35.695,767173,31.228813
2013-03-25,36.09,36.310001,35.419998,35.419998,745321,30.988218
2013-03-26,35.43,35.709999,35.150002,35.490002,749759,31.049463
2013-03-27,34.740002,35.130001,34.139999,34.959999,3231741,30.585773
2013-03-28,34.959999,35.014999,34.709999,34.794998,771634,30.44142
2013-04-02,34.93,36.435001,34.900002,36.369999,1573106,31.819351
2013-04-03,36.455002,36.799999,35.790001,35.799999,957678,31.320675
2013-04-04,35.814999,35.955002,35.139999,35.23,813963,30.821989
2013-04-05,35.125,35.200001,34.174999,34.455002,1120198,30.143955
2013-04-08,34.5,34.775002,34.255001,34.5,990008,30.183331
2013-04-09,34.474998,34.724998,34.205002,34.540001,1128354,30.218323
2013-04-10,34.674999,35.099998,34.535,34.994999,639938,30.616398
2013-04-11,34.955002,35.580002,34.875,35.404999,546132,30.975096
2013-04-12,35.285,35.485001,34.950001,35.040001,614303,30.655766
2013-04-15,34.970001,35.235001,34.580002,34.865002,628499,30.502663
2013-04-16,34.68,35.27,33.880001,34.380001,1017913,30.07835
2013-04-17,34.59,34.610001,33.365002,33.959999,1267857,29.710894
2013-04-18,33.875,34.755001,33.775002,34.404999,996698,30.100214
2013-04-19,34.5,35.060001,34.305,34.965,822468,30.590157
2013-04-22,35,35.389999,34.805,35.009998,834284,30.629519
2013-04-23,35.810001,37.18,35.799999,36.970001,2005263,32.344288
2013-04-24,37.174999,37.174999,36.630001,36.860001,1142425,32.248047
2013-04-25,37.525002,37.959999,37.330002,37.459999,1136925,32.772976
2013-04-26,37.615002,37.93,37.43,37.724998,799035,33.004814
2013-04-29,37.709999,37.900002,37.439999,37.810001,573801,33.079185
2013-04-30,37.860001,37.970001,37.215,37.290001,1085446,32.624249
2013-05-02,37.049999,37.869999,36.994999,37.5,1282240,32.807972
2013-05-03,37.535,38.16,37.334999,37.900002,767101,33.157921
2013-05-06,37.794998,37.849998,37.459999,37.650002,350693,32.939198
2013-05-07,37.650002,37.849998,37.380001,37.610001,680728,32.904205
2013-05-08,37.845001,38.014999,37.494999,37.935001,685960,33.188545
2013-05-09,37.955002,38.974998,37.955002,38.654999,856082,33.818451
2013-05-10,38.689999,39.285,38.535,39.244999,775103,34.334633
2013-05-13,39.060001,39.365002,38.98,39.209999,746189,34.304012
2013-05-14,39.685001,40.25,39.43,39.5,1320591,34.557732
2013-05-15,39.509998,39.810001,39.27,39.645,501613,34.684582
2013-05-16,39.57,40.384998,39.435001,40.259998,838831,35.222633
2013-05-17,40.130001,40.345001,39.875,40.110001,833172,35.091404
2013-05-20,40.064999,40.389999,39.919998,40.34,390669,35.292625
2013-05-21,40.5,41.07,40.450001,40.919998,937706,35.800053
2013-05-22,40.805,40.904999,40.25,40.689999,751714,35.598827
2013-05-23,40,40.485001,39.735001,40.435001,927257,35.37574
2013-05-24,40.689999,40.799999,40.134998,40.365002,454001,35.314499
2013-05-27,40.540001,40.759998,40.139999,40.424999,267461,35.366985
2013-05-28,40.634998,41.424999,40.595001,41.264999,664814,36.101883
2013-05-29,41.195,41.709999,40.970001,41.035,1190534,35.900669
2013-05-30,40.82,41.685001,40.790001,41.540001,644008,36.342484
2013-05-31,41.549999,41.549999,40.555,41.095001,1876239,35.953167
2013-06-03,40.705002,40.825001,40.145,40.360001,1115921,35.877602
2013-06-04,40.455002,40.595001,39.945,40.025002,875128,35.579807
2013-06-05,39.75,40.084999,39.630001,39.900002,818928,35.468685
2013-06-06,40.119999,40.215,39.695,39.75,927722,35.335346
2013-06-07,39.764999,39.990002,39.224998,39.685001,937721,35.277565
2013-06-10,39.860001,40.724998,39.685001,40.5,833714,36.002048
2013-06-11,40.285,40.5,39.764999,39.875,799321,35.446461
2013-06-12,39.794998,40.564999,39.794998,40.275002,541278,35.802048
2013-06-13,39.84,40.685001,39.705002,40.59,983523,36.082054
2013-06-14,40.705002,41.009998,40.540001,40.959999,1147501,36.410957
2013-06-17,41.25,41.790001,41.009998,41.48,816215,36.873207
2013-06-18,41.490002,41.490002,40.994999,41.244999,1010166,36.664307
2013-06-19,41.314999,41.41,40.669998,41.099998,881999,36.535412
2013-06-20,40.799999,40.98,39.610001,39.959999,1366047,35.522018
2013-06-21,40.07,40.605,39.619999,39.619999,1228312,35.21978
2013-06-24,39.595001,39.595001,38.48,38.825001,1040168,34.513077
2013-06-25,38.974998,39.634998,38.764999,39.634998,890528,35.233116
2013-06-26,39.584999,40.195,39.255001,40.044998,923864,35.597576
2013-06-27,39.985001,40.68,39.904999,40.544998,631959,36.042049
2013-06-28,40.814999,40.985001,40.09,40.125,1235610,35.668705
2013-07-01,40.215,40.755001,40.150002,40.544998,971435,36.042049
2013-07-02,40.509998,40.740002,40.224998,40.654999,718798,36.139835
2013-07-03,40.41,40.674999,40.145,40.57,902265,36.064274
2013-07-04,40.869999,41.785,40.674999,41.785,979530,37.144341
2013-07-05,41.790001,42.029999,41.294998,41.514999,1259775,36.904324
2013-07-08,41.810001,42.41,41.810001,42.224998,489519,37.535469
2013-07-09,42.490002,42.82,42.25,42.610001,894569,37.877712
2013-07-10,42.639999,42.855,42.174999,42.610001,610179,37.877712
2013-07-11,43.110001,43.275002,42.360001,42.799999,776216,38.046608
