date,SAN.PA.Open,SAN.PA.High,SAN.PA.Low,SAN.PA.Close,SAN.PA.Volume,SAN.PA.Adjusted
28/12/2012,71.489998,72.129997,70.580002,70.730003,1591307,51.947048
02/01/2013,72.489998,73,71.940002,73,2358355,53.614208
03/01/2013,72.559998,73.190002,72.43,72.809998,1547913,53.474667
04/01/2013,72.949997,73.760002,72.709999,73.669998,1692994,54.106293
07/01/2013,73.650002,73.800003,72.57,73.379997,2055484,53.893295
08/01/2013,73.150002,74.040001,73.139999,73.75,1629504,54.165054
09/01/2013,74.230003,74.290001,73.309998,73.860001,1496965,54.245834
10/01/2013,73.699997,73.82,72.879997,73.339996,1918959,53.863937
11/01/2013,73.440002,73.809998,73.050003,73.809998,1430440,54.209118
14/01/2013,73.650002,73.809998,72.919998,72.919998,1442464,53.555462
15/01/2013,72.459999,72.639999,71.849998,72.150002,2361834,52.989944
16/01/2013,72.220001,72.860001,72.209999,72.599998,1738097,53.320438
17/01/2013,72.699997,73.480003,72.400002,73.059998,1786362,53.658283
18/01/2013,73.110001,73.199997,71.800003,72.099998,2502639,52.953224
21/01/2013,72.010002,72.599998,72.010002,72.5,961622,53.247005
22/01/2013,72.25,72.580002,71.5,71.57,1316998,52.563976
23/01/2013,71.610001,72.449997,71.610001,72.059998,1755201,52.923851
24/01/2013,72.150002,72.75,71.739998,72.75,1635773,53.430618
25/01/2013,72.510002,73.459999,72.510002,73.089996,2072405,53.680321
28/01/2013,73.209999,73.580002,72.989998,73.099998,1569308,53.68766
29/01/2013,72.839996,72.910004,71.82,72.519997,1940744,53.261692
30/01/2013,72.510002,73.129997,72.389999,72.699997,1908516,53.39389
31/01/2013,72.5,72.669998,71.779999,71.860001,3489988,52.776962
01/02/2013,71.980003,72.419998,71.669998,72.099998,1814727,52.953224
04/02/2013,72.190002,72.300003,69.68,69.68,3353904,51.17588
05/02/2013,69.839996,71.639999,69.839996,70.690002,2850050,51.91766
06/02/2013,70.5,71.129997,68.860001,69.370003,3492738,50.9482
07/02/2013,67,67.940002,65.910004,66.599998,8059120,48.913803
08/02/2013,67.690002,69.050003,66.93,69.050003,4440368,50.713181
11/02/2013,71.860001,72.400002,70.809998,71.400002,5926430,52.439114
12/02/2013,71.599998,72.5,71.099998,72.5,2442376,53.247005
13/02/2013,72.519997,73.489998,72.099998,73.389999,3106648,53.90065
14/02/2013,72.889999,73.169998,71.629997,72.029999,3430158,52.901814
15/02/2013,72.169998,72.800003,71.839996,71.900002,2799972,52.806328
18/02/2013,71.32,72.400002,71.25,72.260002,1253154,53.070744
19/02/2013,71.879997,74.199997,71.75,74.099998,2983991,54.422104
20/02/2013,73.860001,74.129997,73.480003,73.769997,2608715,54.179741
21/02/2013,73.269997,73.400002,71.019997,71.190002,3898256,52.284882
22/02/2013,71.43,72.860001,71.43,72.839996,2694648,53.496704
25/02/2013,73.239998,74.139999,72.349998,72.480003,3284969,53.232319
26/02/2013,70.169998,72.160004,70.099998,70.900002,4599339,52.071896
27/02/2013,71.010002,71.419998,70.150002,71.419998,2984080,52.4538
28/02/2013,71.970001,72.580002,70.940002,72.580002,3169142,53.305756
01/03/2013,72.099998,72.980003,71.160004,72.230003,2144688,53.048702
04/03/2013,71.720001,73.309998,71.650002,72.760002,2221448,53.43795
05/03/2013,73.5,74.900002,73.220001,74.760002,3650574,54.906841
06/03/2013,74.910004,75.489998,73.910004,74.199997,2118925,54.495541
07/03/2013,74.629997,75.239998,74.419998,75.129997,2245979,55.178589
08/03/2013,75.309998,76,75,75.889999,2664559,55.736759
11/03/2013,75.739998,75.849998,75.190002,75.550003,1799971,55.487041
12/03/2013,75.260002,75.470001,74.43,75.269997,2113129,55.281406
13/03/2013,75.269997,75.550003,74.449997,75.330002,1904121,55.325474
14/03/2013,75.900002,75.989998,75.239998,75.839996,2336847,55.70002
15/03/2013,75.839996,76.300003,75.169998,75.879997,5649612,55.729412
18/03/2013,74.32,76.050003,74.300003,75.870003,2159881,55.722076
19/03/2013,75.699997,76.32,75.349998,75.949997,2639967,55.780827
20/03/2013,76.379997,78.480003,76.029999,77.82,4475102,57.154224
21/03/2013,77.650002,77.75,76.599998,77.32,2903811,56.78701
22/03/2013,77.32,78.18,76.650002,77.5,1963879,56.919212
25/03/2013,78.599998,79.18,76.610001,76.949997,3917458,56.515266
26/03/2013,77.410004,78.779999,77.309998,78.400002,2996139,57.580212
27/03/2013,78.489998,78.5,76.82,78.010002,3303064,57.293777
28/03/2013,78.129997,79.459999,77.760002,79.269997,3331471,58.219166
02/04/2013,79,81,78.82,81,3752894,59.489754
03/04/2013,80.5,80.970001,80.019997,80.050003,3043700,58.792034
04/04/2013,80.419998,80.559998,78.739998,79.080002,2496407,58.079632
05/04/2013,79.150002,79.300003,76.739998,77.559998,2412861,56.963268
08/04/2013,77.669998,78.550003,77.559998,77.809998,1412306,57.146881
09/04/2013,78.589996,79.139999,78.019997,78.379997,2455973,57.565514
10/04/2013,79,79.620003,78.050003,79.620003,2665788,58.476231
11/04/2013,79.639999,80.690002,79.150002,80.309998,2375734,58.983002
12/04/2013,80.050003,80.099998,79.010002,79.5,2216771,58.388081
15/04/2013,79.949997,82.300003,79.900002,81.900002,4203560,60.150757
16/04/2013,82.440002,82.709999,81.720001,82.349998,3773954,60.481255
17/04/2013,82.349998,82.459999,79.540001,79.68,3726508,58.520275
