date,AI.PA,BN.PA,DG.PA,BNP.PA,SAF.PA
31/12/2012,62.262932,40.969456,28.360119,31.265284,28.416075
31/01/2013,62.362267,42.36388,29.814085,34.127056,29.584032
28/02/2013,61.739532,44.148407,28.165462,31.833946,30.690758
31/03/2013,62.786236,45.05312,27.923145,29.570385,30.44142
30/04/2013,63.673939,48.149067,30.107439,31.246822,32.624249
31/05/2013,67.970268,48.302303,32.689133,34.584187,35.953167
30/06/2013,64.905327,49.085491,31.750332,32.028049,35.668705
31/07/2013,68.26442,50.566738,33.426174,37.109802,39.237789
31/08/2013,68.079735,47.961784,32.174446,36.178917,37.348789
30/09/2013,70.433205,47.365879,35.38612,38.151337,40.477863
31/10/2013,68.620201,46.497559,38.906616,41.615475,41.846832
30/11/2013,70.193794,45.527088,39.43515,42.15723,43.073574
31/12/2013,70.330627,44.539593,39.764297,43.225468,45.352257
31/01/2014,63.762707,41.71756,40.46843,43.835884,47.372501
28/02/2014,68.250732,43.569118,45.105648,45.369568,45.801201
31/03/2014,67.265602,43.696815,44.922329,42.721863,45.154724
30/04/2014,70.535873,45.254681,46.324718,41.287376,43.498119
31/05/2014,75.345711,47.833515,46.290623,40.356346,45.284782
30/06/2014,76.480995,47.492035,46.546368,38.922623,43.492859
31/07/2014,73.704079,47.360695,44.005928,38.887276,39.9272
31/08/2014,75.426125,46.528881,42.411755,40.364212,45.375744
30/09/2014,74.906387,46.406303,39.219154,41.259792,46.735603
31/10/2014,74.658127,47.474525,38.767323,39.39006,45.935154
30/11/2014,78.497734,49.689766,37.507839,40.505615,47.326851
31/12/2014,79.777557,47.675907,39.263531,38.698727,47.148773
31/01/2015,86.875008,52.158932,40.41098,36.746513,54.453384
28/02/2015,91.606804,54.575565,45.742748,40.921978,57.866493
31/03/2015,92.925186,54.829483,45.923923,44.441475,59.798443
30/04/2015,90.598526,56.484352,48.335903,44.339352,60.591835
31/05/2015,93.275742,56.06617,47.68343,44.310837,59.811806
30/06/2015,90.214294,51.99548,45.743645,43.681633,56.45023
31/07/2015,94.269882,55.313,51.492466,47.84409,63.944111
31/08/2015,84.966286,49.664246,50.619556,45.391788,64.649864
30/09/2015,84.012009,50.587772,50.00235,42.31834,62.495483
31/10/2015,93.753502,56.855202,54.119991,44.577042,64.17627
30/11/2015,91.844261,59.473354,54.783745,45.262718,64.891296
31/12/2015,83.495193,56.523449,52.932693,42.42321,59.76371
31/01/2016,75.718178,56.891071,55.549065,35.272007,55.929459
29/02/2016,76.481613,57.590446,56.794968,34.687168,53.726402
31/03/2016,78.636581,56.048237,58.263348,35.679382,57.635647
30/04/2016,78.724045,54.846752,59.206989,37.300804,56.407566
31/05/2016,79.151741,58.095997,61.33968,40.144344,59.838768
30/06/2016,77.126419,58.399918,57.800327,33.660915,57.86314
31/07/2016,78.21701,63.437729,61.611927,37.555775,57.749161
31/08/2016,80.627655,62.728565,61.702682,38.614162,59.534824
30/09/2016,80.354195,60.831337,61.820671,38.753868,60.788586
31/10/2016,78.02227,58.095997,59.878567,44.740101,59.487335
30/11/2016,80.884621,54.66991,56.123051,46.382713,61.519947
31/12/2016,88.941002,55.443542,59.303631,51.268227,65.647003
31/01/2017,84.184639,53.408161,59.486958,50.108234,60.158829
28/02/2017,85.784157,57.617077,62.337563,46.679062,64.438072
31/03/2017,90.161697,58.722263,68.102951,52.860043,67.19175
30/04/2017,93.107765,59.109081,72.952095,54.849804,72.93898
31/05/2017,93.684509,62.480595,72.606491,55.44656,75.606316
30/06/2017,93.425407,62.225296,69.804237,55.65839,77.792938
31/07/2017,89.539879,59.653458,70.747658,57.873775,77.492393
31/08/2017,88.546974,62.546783,72.251534,56.408619,79.101768
30/09/2017,97.440582,62.754795,75.100502,60.239216,83.803856
31/10/2017,94.375206,66.319443,78.509918,59.171238,87.67218
30/11/2017,90.791901,67.056953,80.832733,56.117355,86.799622
31/12/2017,90.705574,66.139793,80.182991,54.943459,83.290024
31/01/2018,93.727631,65.676483,81.925072,58.782883,88.166626
28/02/2018,89.06498,62.168568,76.576401,57.697258,88.127846
31/03/2018,85.896187,62.149662,75.239235,53.107597,83.357887
30/04/2018,93.295952,63.435574,79.914703,56.470406,94.487785
31/05/2018,93.453178,63.638805,80.510941,49.441593,100.624878
30/06/2018,95.49247,61.186291,79.203064,49.562725,102.496513
31/07/2018,97.088387,65.410065,82.703552,51.873604,104.466652
31/08/2018,96.201813,66.003723,79.395401,47.158672,110.623337
30/09/2018,100.45771,64.913719,78.876091,49.115459,118.897919
31/10/2018,94.871773,60.90406,75.856453,42.984184,112.347206
30/11/2018,94.650085,64.290855,74.861382,41.348862,108.702446
31/12/2018,96.15744,59.862713,69.928879,36.783016,103.826355
