date,AI.PA,BN.PA,DG.PA,BNP.PA,SAF.PA
28/12/2012,62.262932,40.969456,28.360119,31.265284,28.416075
02/01/2013,63.60104,42.040173,29.269838,32.834641,29.098476
03/01/2013,63.163803,41.600269,29.396961,32.834641,29.067862
04/01/2013,63.230049,41.50066,29.492302,32.779255,29.028488
07/01/2013,62.706741,41.160358,29.210253,33.388531,28.774771
08/01/2013,62.501419,41.272408,29.1308,33.746712,28.787899
09/01/2013,62.335773,41.17696,29.476419,33.7061,29.045986
10/01/2013,61.713127,41.434265,29.357237,33.658096,28.967245
11/01/2013,61.408386,41.168655,29.472441,33.875957,29.006618
14/01/2013,61.673298,40.853256,29.583673,33.702404,29.045986
15/01/2013,61.044003,41.363708,29.63134,32.664787,28.731033
16/01/2013,61.408386,41.459164,29.643263,32.650013,29.247213
17/01/2013,61.428238,41.542168,30.028597,33.695023,29.487803
18/01/2013,61.163246,41.342964,29.945179,34.145519,29.706526
21/01/2013,61.819035,41.782871,30.159691,34.304306,29.518427
22/01/2013,61.885281,41.940571,30.084221,34.189831,29.662773
23/01/2013,62.044285,42.43858,30.016684,33.318375,29.693396
24/01/2013,62.137028,42.994682,30.112024,34.012585,29.724018
25/01/2013,62.468262,43.011288,30.584759,34.463081,30.139587
28/01/2013,61.54089,42.778881,30.334486,35.201603,30.301441
29/01/2013,61.911781,43.16069,30.370243,34.891422,30.318935
30/01/2013,62.34901,43.227093,30.100105,34.123363,29.964613
31/01/2013,62.362267,42.36388,29.814085,34.127056,29.584032
01/02/2013,63.567959,42.52158,30.175585,34.529552,29.833376
04/02/2013,61.527641,41.749668,28.781214,33.008194,29.089731
05/02/2013,61.92503,41.467457,29.091084,33.621166,29.702147
06/02/2013,60.944668,41.413513,28.129715,32.764481,29.487803
07/02/2013,60.116623,41.674965,27.859581,32.173668,29.387188
08/02/2013,60.712761,42.322384,28.205194,32.934345,29.522797
11/02/2013,60.580261,42.247669,28.125744,33.048813,29.22097
12/02/2013,60.620014,41.791168,28.53492,33.997818,29.15535
13/02/2013,61.077156,41.799465,28.276701,33.857494,29.255959
14/02/2013,60.129871,41.807766,28.391905,34.525856,29.610285
15/02/2013,59.692642,41.608566,27.811913,33.975658,29.933987
18/02/2013,59.228924,41.658367,28.014511,33.514084,29.964613
19/02/2013,60.196121,44.115211,28.451494,33.695023,31.018841
20/02/2013,60.017208,44.040504,27.986706,32.882652,30.682005
21/02/2013,59.440914,43.492695,27.406706,31.387148,29.745895
22/02/2013,61.381897,44.397411,28.292585,32.221672,29.916494
25/02/2013,61.467972,44.588318,28.562723,32.26598,30.297066
26/02/2013,60.321945,43.310097,27.649031,30.77417,30.04335
27/02/2013,61.527641,43.949203,28.284645,31.870876,30.44142
28/02/2013,61.739532,44.148407,28.165462,31.833946,30.690758
01/03/2013,62.521248,44.082005,28.109852,31.29113,31.622507
04/03/2013,62.799496,44.372509,28.125744,31.387148,31.500025
05/03/2013,63.468529,45.484726,28.654093,32.299221,31.67063
06/03/2013,62.799496,44.903717,28.554777,31.771175,31.793104
07/03/2013,62.918732,45.932938,28.753405,31.649319,31.548145
08/03/2013,63.01807,46.298138,29.059294,32.945423,31.018841
11/03/2013,62.825993,45.982731,28.995726,32.78664,30.90073
