date,FP.PA,MC.PA,SAN.PA,AIR.PA,OR.PA
28/12/2012,26.978865,118.200035,51.947048,26.040861,92.523727
02/01/2013,27.717295,121.931305,53.614208,26.634413,94.90744
03/01/2013,27.634102,121.073532,53.474667,26.754005,93.053444
04/01/2013,27.609829,121.673965,54.106293,27.285543,93.274155
07/01/2013,27.148748,120.215752,53.893295,27.241249,91.994011
08/01/2013,27.308222,119.572449,54.165054,27.39628,92.258865
09/01/2013,27.408756,118.414467,54.245834,28.459354,92.921013
10/01/2013,27.422617,117.170708,53.863937,28.384052,91.994011
11/01/2013,27.377558,118.242905,54.209118,28.609955,91.596725
14/01/2013,27.464226,117.513817,53.555462,28.481504,92.656158
15/01/2013,27.547434,119.229347,52.989944,28.477074,93.58316
16/01/2013,27.661835,120.515968,53.320438,28.733982,94.157021
17/01/2013,27.533554,121.974197,53.658283,29.854637,95.569588
18/01/2013,27.256214,121.330879,52.953224,30.651939,95.613739
21/01/2013,27.332483,120.087097,53.247005,30.395029,96.717308
22/01/2013,27.381027,119.486679,52.563976,31.006296,95.790306
23/01/2013,27.332483,118.714676,52.923851,30.789255,96.805611
24/01/2013,27.550898,119.74398,53.430618,30.727243,97.335312
25/01/2013,27.613308,120.816208,53.680321,30.815836,98.085739
28/01/2013,27.384487,120.172882,53.68766,31.657434,98.438889
29/01/2013,27.828245,120.687546,53.261692,31.272066,99.895599
30/01/2013,28.164526,119.658218,53.39389,30.465902,100.248756
31/01/2013,27.686098,119.100677,52.776962,30.656374,96.584885
01/02/2013,27.845577,119.958435,52.953224,31.174614,98.79203
04/02/2013,27.041281,114.940529,51.17588,30.846834,95.878586
05/02/2013,27.353289,115.798279,51.91766,30.948715,97.997459
06/02/2013,26.968468,113.224991,50.9482,30.851269,96.584885
07/02/2013,26.628723,112.152779,48.913803,31.276499,95.437164
08/02/2013,26.611387,114.168518,50.713181,31.046164,95.878586
11/02/2013,26.458843,112.667435,52.439114,30.798115,95.304741
12/02/2013,26.597523,114.082764,53.247005,30.979725,98.924469
13/02/2013,26.698055,114.554527,53.90065,31.161333,99.321762
14/02/2013,26.164164,113.182098,52.901814,30.904419,98.085739
15/02/2013,25.862547,114.082764,52.806328,30.913282,97.556023
18/02/2013,25.963089,113.5252,53.070744,31.183479,97.158745
19/02/2013,26.555914,114.768967,54.422104,31.679579,98.615471
20/02/2013,26.316704,113.653862,54.179741,32.113667,98.703751
21/02/2013,25.814011,111.981224,52.284882,31.272066,96.893883
22/02/2013,26.389509,113.61097,53.496704,31.794744,99.410042
25/02/2013,26.632187,114.59742,53.232319,31.484686,101.264046
26/02/2013,25.789751,112.152779,52.071896,30.886707,98.836174
27/02/2013,26.351374,112.710327,52.4538,32.902115,100.160477
28/02/2013,26.552454,113.139206,53.305756,34.709339,101.131615
01/03/2013,26.566313,112.710327,53.048702,34.505585,101.705467
04/03/2013,26.46578,112.710327,53.43795,35.347179,101.264046
05/03/2013,27.041281,114.768967,54.906841,34.90424,102.235184
06/03/2013,27.093277,115.154953,54.495541,34.935242,102.146904
07/03/2013,27.152212,115.583839,55.178589,35.426914,104.574768
08/03/2013,27.173014,117.25647,55.736759,35.435768,105.148621
11/03/2013,27.25968,116.741837,55.487041,35.896435,105.104477
12/03/2013,27.283945,116.613144,55.281406,36.423542,104.927902
13/03/2013,27.186884,116.698936,55.325474,37.030384,105.899055
14/03/2013,27.433018,116.312943,55.70002,37.158836,106.296356
15/03/2013,27.155676,115.112068,55.729412,37.725807,106.208061
18/03/2013,27.261272,115.283607,55.722076,37.251854,107.488205
19/03/2013,27.028967,113.310776,55.780827,36.932934,106.208061
20/03/2013,27.264793,114.34008,57.154224,36.636154,108.768356
21/03/2013,26.926889,112.067001,56.78701,36.002743,106.252197
22/03/2013,26.821289,112.238556,56.919212,36.631725,106.208061
25/03/2013,26.6101,111.209229,56.515266,36.724747,107.664772
26/03/2013,26.539713,112.624557,57.580212,36.255222,107.046768
27/03/2013,26.356674,113.825417,57.293777,35.138996,106.517052
28/03/2013,26.296833,114.854729,58.219166,35.170002,109.209778
02/04/2013,26.891687,117.25647,59.489754,36.423542,112.343933
03/04/2013,26.402435,116.312943,58.792034,35.732548,112.388077
04/04/2013,26.272194,115.283607,58.079632,34.771351,109.562927
05/04/2013,25.867413,111.423668,56.963268,33.912037,107.31163
08/04/2013,25.870934,113.010536,57.146881,34.292969,109.430496
09/04/2013,26.124363,111.337898,57.565514,33.309624,107.31163
10/04/2013,26.37075,113.224991,58.476231,34.084778,109.342201
11/04/2013,26.402435,114.082764,58.983002,34.000618,109.827782
12/04/2013,26.180677,112.238556,58.388081,33.358345,108.989067
15/04/2013,25.730141,112.58168,60.150757,33.225464,108.856628
16/04/2013,25.47319,108.292839,60.481255,32.95084,107.399918
17/04/2013,24.81497,104.432892,58.520275,34.549877,106.73777
18/04/2013,24.836088,103.618019,58.8214,34.368263,106.958496
19/04/2013,25.019129,105.762428,59.225357,35.37376,111.593506
22/04/2013,25.195118,106.067101,58.916897,34.899811,110.622368
23/04/2013,26.008209,108.896133,61.391945,35.980595,115.478104
24/04/2013,26.585463,111.594582,62.133743,36.241936,117.287964
25/04/2013,26.821289,113.030884,60.701591,36.011608,115.654663
26/04/2013,26.434113,112.421532,60.385773,35.435768,115.169075
29/04/2013,26.838898,114.380112,61.289131,35.316177,118.479813
30/04/2013,26.940962,114.46714,61.120213,35.528786,119.53923
02/05/2013,26.680496,114.90239,61.230377,35.750263,120.113113
03/05/2013,27.057129,117.687912,62.280628,36.188778,119.715813
06/05/2013,27.074715,116.686867,61.920753,36.078041,120.068954
07/05/2013,27.120481,116.164566,62.317348,36.078041,118.63208
08/05/2013,27.261272,116.208084,63.419006,36.543137,119.979164
09/05/2013,27.285912,116.469246,63.047203,36.618443,119.889359
10/05/2013,27.349272,116.948021,64.595123,36.773472,120.383278
13/05/2013,27.321119,115.903427,64.268852,36.498848,120.473061
14/05/2013,27.437262,118.166672,64.306786,37.597355,122.134483
15/05/2013,27.384474,120.038155,64.32196,38.195335,122.044647
16/05/2013,27.138077,122.214333,64.208145,38.359222,122.718193
17/05/2013,27.454874,123.302452,64.117111,38.359222,121.236435
20/05/2013,27.690697,123.868233,63.972912,38.239628,121.550735
21/05/2013,27.930048,124.651695,64.602715,38.159893,122.673302
22/05/2013,27.930048,123.433022,65.581535,38.182045,122.403885
23/05/2013,27.704773,119.602936,64.352325,37.225281,120.113869
24/05/2013,27.789251,119.689987,64.124672,37.672657,119.395424
27/05/2013,28.018038,120.299339,64.883469,37.734669,120.7425
28/05/2013,28.208111,122.17086,65.763641,38.80217,122.224266
29/05/2013,27.736458,119.341827,63.517647,39.156525,119.036201
30/05/2013,27.732931,120.429909,63.75288,39.196396,119.979164
31/05/2013,27.162724,118.950096,62.607117,39.919338,117.060501
03/06/2013,27.215515,117.949028,61.651054,38.962887,115.309303
04/06/2013,27.243679,117.122078,61.962143,38.909008,116.117561
05/06/2013,26.750898,114.031914,60.8619,38.118698,112.839676
06/06/2013,26.353159,113.857819,60.163849,37.647209,112.211029
07/06/2013,26.680496,115.468193,61.377895,38.998814,114.052048
10/06/2013,26.63122,115.511711,61.150253,38.626114,114.186745
11/06/2013,26.420027,112.813255,60.452168,38.019917,112.929482
12/06/2013,26.180677,111.159348,61.180611,38.612644,112.839676
13/06/2013,26.265154,109.679565,60.892262,38.621624,111.85183
14/06/2013,26.360191,109.50547,61.05162,38.473446,112.52536
17/06/2013,26.962086,110.680595,62.65263,38.617138,115.444023
18/06/2013,26.979685,110.419464,61.878674,38.75185,115.039894
19/06/2013,26.821289,111.072311,61.302017,37.992973,114.590858
20/06/2013,25.973009,107.024612,58.509705,37.058975,111.088478
21/06/2013,25.698465,105.414238,58.737328,36.59647,110.010826
24/06/2013,25.558929,103.803879,57.652271,35.572666,108.663757
25/06/2013,25.970366,106.197678,57.379105,36.59198,110.190422
26/06/2013,26.188601,108.98317,59.943787,37.153275,112.660065
27/06/2013,26.578571,110.114799,60.710163,37.32391,113.558105
28/06/2013,26.836163,108.373848,60.414238,36.879364,113.378502
01/07/2013,26.832582,110.854706,60.603935,37.009583,115.129692
02/07/2013,26.578571,109.766609,59.807217,36.632397,114.052048
03/07/2013,26.492702,108.591461,58.964966,36.133965,112.74987
04/07/2013,26.997156,109.940712,61.059204,37.449642,115.758331
05/07/2013,26.607187,108.852608,59.989323,37.000607,113.782623
08/07/2013,27.218967,112.073364,61.081963,37.413712,115.803223
09/07/2013,27.311991,114.380112,60.960567,37.472088,115.578712
10/07/2013,27.362082,115.250565,60.027264,37.279003,115.893044
11/07/2013,27.548122,116.338676,60.581177,37.144295,116.252258
12/07/2013,27.619673,115.990479,60.429424,37.063465,116.431854
15/07/2013,27.902308,116.599815,60.854332,37.575371,117.509529
16/07/2013,27.798557,114.597733,59.898266,37.382282,115.668526
17/07/2013,27.938086,115.859932,60.034843,37.413712,114.950081
18/07/2013,28.5284,116.643333,61.362717,37.912148,115.848145
19/07/2013,28.456844,115.729332,60.368729,38.293827,115.399109
22/07/2013,28.750216,114.554207,60.89986,38.230961,114.411263
23/07/2013,28.5284,113.205002,60.383881,37.925621,113.962234
24/07/2013,28.764521,113.509636,60.512867,38.006447,114.366356
25/07/2013,28.624998,113.509636,60.247295,39.021263,112.74987
26/07/2013,28.667929,117.557335,60.437008,39.667877,112.570259
29/07/2013,28.517672,117.035042,60.414238,39.825047,112.255943
30/07/2013,28.768112,118.21019,60.763275,39.757687,112.929482
31/07/2013,28.692974,118.950096,60.831562,40.310001,113.109085
01/08/2013,28.979189,121.866188,58.312416,40.660252,114.815376
02/08/2013,29.000656,122.431999,57.940601,40.462673,114.231636
05/08/2013,28.961296,121.953239,58.206181,40.224689,114.635773
06/08/2013,28.714434,121.866188,58.805622,40.777,115.71344
07/08/2013,28.685823,120.952187,59.427814,40.970085,115.219505
08/08/2013,28.836082,120.821625,59.738914,41.15868,114.815376
09/08/2013,28.800306,121.03923,59.829971,41.270939,114.27655
12/08/2013,28.886171,121.822639,58.957375,40.359394,114.052048
13/08/2013,29.086517,121.953239,59.367111,40.004654,115.488922
14/08/2013,29.186693,123.607162,59.207764,40.458183,116.02774
15/08/2013,29.472914,121.866188,58.684216,40.51207,115.803223
16/08/2013,29.734079,122.649605,58.995308,40.597389,116.252258
19/08/2013,29.383471,122.606079,58.729733,40.305511,114.052048
20/08/2013,29.10441,121.561501,58.380699,39.461323,112.839676
21/08/2013,29.115147,121.126266,57.477753,39.03474,112.794777
22/08/2013,29.508682,121.779129,57.401875,39.510715,114.456154
23/08/2013,30.059645,120.995712,56.863129,39.919338,112.794777
26/08/2013,30.052494,121.692078,58.160664,39.968731,112.884567
27/08/2013,29.855715,118.21019,56.908665,39.313141,109.965927
28/08/2013,30.635656,115.903427,55.770493,38.338734,110.370056
29/08/2013,30.41741,117.165611,56.301632,38.980854,109.921021
30/08/2013,29.991674,115.381157,55.155888,39.160469,113.378502
02/09/2013,30.331547,118.253716,56.453384,40.098957,115.129692
03/09/2013,29.938004,117.426765,54.859959,39.793606,113.782623
04/09/2013,30.027445,117.122078,55.004112,40.076508,112.74987
05/09/2013,30.152672,117.644356,55.277287,40.494106,112.255943
06/09/2013,30.342285,119.472382,56.202999,40.763527,112.929482
09/09/2013,30.166979,120.429909,55.300041,40.844357,112.07634
10/09/2013,30.331547,123.607162,56.134712,41.621193,112.97438
11/09/2013,30.467501,123.171906,56.362331,41.315842,111.986526
12/09/2013,30.463919,122.519012,54.875126,40.637802,112.031425
13/09/2013,30.657122,123.302452,54.799244,40.238155,111.85183
16/09/2013,30.732248,126.175011,54.700607,40.485126,113.962234
17/09/2013,30.324406,125.043396,55.618736,40.503086,113.782623
18/09/2013,30.163393,126.914917,55.853958,41.710995,114.141846
19/09/2013,30.492546,129.91803,56.901077,42.433945,115.354202
20/09/2013,30.320808,128.873474,57.53846,42.177994,116.252258
23/09/2013,30.56052,127.350136,56.718967,41.315842,115.309303
24/09/2013,31.340498,129.265182,56.81002,41.401161,115.623627
25/09/2013,31.416685,128.307632,56.81002,41.859173,114.321449
26/09/2013,31.300585,128.046539,56.605141,42.22739,114.366356
27/09/2013,31.688766,127.132545,56.992134,42.61356,114.635773
30/09/2013,31.122829,126.740837,56.885906,42.294743,114.007133
01/10/2013,31.311474,128.873474,57.371532,43.408356,114.590858
02/10/2013,31.126457,126.000931,56.711384,43.62389,112.884567
03/10/2013,30.778187,126.871399,56.453384,43.637367,111.986526
04/10/2013,31.1192,127.698349,56.643097,44.194168,111.672211
07/10/2013,31.191755,126.349106,56.711384,45.173065,112.031425
08/10/2013,31.188128,125.609192,55.816006,44.00108,111.178284
09/10/2013,31.246178,124.999901,54.624729,43.049118,111.582413
10/10/2013,31.65974,127.001961,55.353161,43.376919,113.24379
11/10/2013,31.645231,127.263092,55.671856,43.799015,112.74987
14/10/2013,31.656122,126.044464,55.54285,43.933727,110.684364
15/10/2013,32.134991,126.087959,55.78566,43.592461,111.402802
16/10/2013,32.200283,120.734566,55.391106,43.390388,109.69651
17/10/2013,32.229309,120.168739,55.163456,43.525101,110.549644
18/10/2013,32.501389,122.736656,55.588383,43.96965,114.501068
21/10/2013,32.21117,121.213326,55.929836,43.129951,114.096947
22/10/2013,32.069679,122.214333,56.681023,42.82909,116.072639
23/10/2013,31.786713,121.561501,56.385101,42.478848,115.803223
24/10/2013,31.917324,121.692078,56.802429,43.466732,114.860283
25/10/2013,32.34177,121.126266,57.068012,44.041492,114.635773
28/10/2013,32.432461,121.517982,57.288052,43.68227,115.399109
29/10/2013,32.751717,122.040276,57.439816,44.301937,115.623627
30/10/2013,32.817013,122.475517,58.843567,45.155102,114.411263
31/10/2013,32.842403,123.433022,59.594753,45.451466,113.288696
01/11/2013,32.472366,122.910751,58.881493,45.451466,112.345741
04/11/2013,32.28735,123.47657,59.154655,46.708771,112.211029
05/11/2013,32.153126,121.561501,59.12431,47.292519,111.043587
06/11/2013,32.34177,121.735611,60.239727,48.055878,111.717125
07/11/2013,32.160381,121.64856,59.685802,48.172626,111.357903
08/11/2013,31.779463,121.343864,59.200195,47.993011,111.22319
11/11/2013,32.022514,122.17086,59.837563,48.316322,111.268089
12/11/2013,31.844757,121.387405,59.496117,47.014114,111.402802
13/11/2013,31.815737,120.386368,59.018078,46.484249,110.325134
14/11/2013,31.939081,121.561501,59.829971,47.364372,112.480453
15/11/2013,32.098705,122.17086,60.634293,46.654888,112.570259
18/11/2013,32.403442,124.085884,60.854332,47.786457,113.019279
19/11/2013,32.073322,122.867226,59.799622,47.023098,112.166138
20/11/2013,32.178516,122.693123,59.989323,46.861443,112.74987
21/11/2013,32.258331,121.387405,59.526463,46.169926,112.07634
22/11/2013,32.563065,121.866188,59.283653,46.466293,112.166138
25/11/2013,32.490501,123.737663,59.587158,46.906345,112.07634
26/11/2013,32.345402,122.693123,59.329185,46.277695,110.908875
27/11/2013,32.417946,123.302452,59.283653,47.032082,111.22319
28/11/2013,32.330879,123.521927,59.617512,47.301495,111.22319
29/11/2013,32.356285,121.809998,59.063599,46.933289,110.594559
02/12/2013,32.243816,121.414955,58.600754,47.687672,112.480453
03/12/2013,31.725046,118.034996,56.764492,45.918468,111.447708
04/12/2013,31.358643,116.191391,56.847954,45.478416,111.178284
05/12/2013,30.879774,115.225693,56.24852,44.809345,109.876114
06/12/2013,31.140966,114.391685,56.430641,44.975491,113.872437
09/12/2013,31.169987,115.006195,55.891891,45.343704,114.27655
10/12/2013,30.654842,112.899239,55.246925,44.167229,113.288696
11/12/2013,30.429918,113.030922,55.193817,47.472134,112.570259
12/12/2013,30.310204,111.757942,55.489738,48.064861,111.582413
13/12/2013,30.154209,111.714043,54.518505,48.433075,111.357903
16/12/2013,31.022696,113.16259,55.800838,49.771198,112.74987
17/12/2013,30.864462,113.250397,54.92065,48.891087,110.774162
18/12/2013,31.272942,113.469864,55.641495,49.394005,111.178284
19/12/2013,31.777102,114.172203,57.068012,50.148392,112.30085
20/12/2013,32.200314,113.952721,57.227352,50.202278,112.30085
23/12/2013,32.376961,114.347778,57.348755,50.211254,112.435547
24/12/2013,32.384312,114.084389,57.288052,50.426792,112.166138
27/12/2013,32.752323,116.191391,58.077198,50.507618,113.647926
30/12/2013,32.623516,116.0597,57.879913,50.049603,113.917328
31/12/2013,32.774391,116.410866,58.517284,50.121452,114.680664
02/01/2014,32.200314,115.225693,57.075603,50.786018,112.794777
03/01/2014,32.29599,115.006195,57.864731,50.651314,113.647926
06/01/2014,32.016304,112.855324,57.940601,49.780182,112.615158
07/01/2014,32.362228,112.065216,57.872318,50.211254,113.24379
08/01/2014,32.049423,110.441071,57.159058,49.708336,111.133385
09/01/2014,31.902227,107.939026,56.483746,49.133568,109.69651
10/01/2014,32.078876,110.441071,56.157475,49.645466,110.86396
13/01/2014,31.688784,110.92392,55.54285,50.094505,110.325134
14/01/2014,32.14143,110.836136,56.2561,50.381886,109.965927
15/01/2014,32.314388,112.987,56.847954,50.866848,110.100632
16/01/2014,32.163509,111.187309,56.923836,51.181171,112.929482
17/01/2014,32.461586,111.231194,57.303238,51.217098,112.390656
20/01/2014,32.667675,111.933525,57.272877,51.199135,111.627319
21/01/2014,32.49839,113.250397,57.401875,51.190155,112.839676
22/01/2014,32.601425,112.328575,57.591572,51.279961,114.725571
23/01/2014,32.325428,110.133812,57.045238,49.304203,114.141846
24/01/2014,31.55998,109.036407,54.655083,47.400288,112.166138
27/01/2014,31.188299,108.202408,54.806839,47.38232,110.549644
28/01/2014,31.460625,108.948631,54.791668,49.241341,110.729263
