,dates
1,28/12/2012
2,02/01/2013
3,03/01/2013
4,04/01/2013
5,07/01/2013
6,08/01/2013
7,09/01/2013
8,10/01/2013
9,11/01/2013
10,14/01/2013
11,15/01/2013
12,16/01/2013
13,17/01/2013
14,18/01/2013
15,21/01/2013
16,22/01/2013
17,23/01/2013
18,24/01/2013
19,25/01/2013
20,28/01/2013
21,29/01/2013
22,30/01/2013
23,31/01/2013
24,01/02/2013
25,04/02/2013
26,05/02/2013
27,06/02/2013
28,07/02/2013
29,08/02/2013
30,11/02/2013
31,12/02/2013
32,13/02/2013
33,14/02/2013
34,15/02/2013
35,18/02/2013
36,19/02/2013
37,20/02/2013
38,21/02/2013
39,22/02/2013
40,25/02/2013
41,26/02/2013
42,27/02/2013
43,28/02/2013
44,01/03/2013
45,04/03/2013
46,05/03/2013
47,06/03/2013
48,07/03/2013
49,08/03/2013
50,11/03/2013
51,12/03/2013
52,13/03/2013
53,14/03/2013
54,15/03/2013
55,18/03/2013
56,19/03/2013
57,20/03/2013
58,21/03/2013
59,22/03/2013
60,25/03/2013
61,26/03/2013
62,27/03/2013
63,28/03/2013
64,02/04/2013
65,03/04/2013
66,04/04/2013
67,05/04/2013
68,08/04/2013
69,09/04/2013
70,10/04/2013
71,11/04/2013
72,12/04/2013
73,15/04/2013
74,16/04/2013
75,17/04/2013
76,18/04/2013
77,19/04/2013
78,22/04/2013
79,23/04/2013
80,24/04/2013
81,25/04/2013
82,26/04/2013
83,29/04/2013
84,30/04/2013
85,02/05/2013
86,03/05/2013
87,06/05/2013
88,07/05/2013
89,08/05/2013
90,09/05/2013
91,10/05/2013
92,13/05/2013
93,14/05/2013
94,15/05/2013
95,16/05/2013
96,17/05/2013
97,20/05/2013
98,21/05/2013
99,22/05/2013
100,23/05/2013
101,24/05/2013
102,27/05/2013
103,28/05/2013
104,29/05/2013
105,30/05/2013
106,31/05/2013
107,03/06/2013
108,04/06/2013
109,05/06/2013
110,06/06/2013
111,07/06/2013
112,10/06/2013
113,11/06/2013
114,12/06/2013
115,13/06/2013
116,14/06/2013
117,17/06/2013
118,18/06/2013
119,19/06/2013
120,20/06/2013
121,21/06/2013
122,24/06/2013
123,25/06/2013
124,26/06/2013
125,27/06/2013
126,28/06/2013
127,01/07/2013
128,02/07/2013
129,03/07/2013
130,04/07/2013
131,05/07/2013
132,08/07/2013
133,09/07/2013
134,10/07/2013
135,11/07/2013
136,12/07/2013
137,15/07/2013
138,16/07/2013
139,17/07/2013
140,18/07/2013
141,19/07/2013
142,22/07/2013
143,23/07/2013
144,24/07/2013
145,25/07/2013
146,26/07/2013
147,29/07/2013
148,30/07/2013
149,31/07/2013
150,01/08/2013
151,02/08/2013
152,05/08/2013
153,06/08/2013
154,07/08/2013
155,08/08/2013
156,09/08/2013
157,12/08/2013
158,13/08/2013
159,14/08/2013
160,15/08/2013
161,16/08/2013
162,19/08/2013
163,20/08/2013
164,21/08/2013
165,22/08/2013
166,23/08/2013
167,26/08/2013
168,27/08/2013
169,28/08/2013
170,29/08/2013
171,30/08/2013
172,02/09/2013
173,03/09/2013
174,04/09/2013
175,05/09/2013
176,06/09/2013
177,09/09/2013
178,10/09/2013
179,11/09/2013
180,12/09/2013
181,13/09/2013
182,16/09/2013
183,17/09/2013
184,18/09/2013
185,19/09/2013
186,20/09/2013
187,23/09/2013
188,24/09/2013
189,25/09/2013
190,26/09/2013
191,27/09/2013
192,30/09/2013
193,01/10/2013
194,02/10/2013
195,03/10/2013
196,04/10/2013
197,07/10/2013
198,08/10/2013
199,09/10/2013
200,10/10/2013
201,11/10/2013
202,14/10/2013
203,15/10/2013
204,16/10/2013
205,17/10/2013
206,18/10/2013
207,21/10/2013
208,22/10/2013
209,23/10/2013
210,24/10/2013
211,25/10/2013
212,28/10/2013
213,29/10/2013
214,30/10/2013
215,31/10/2013
216,01/11/2013
217,04/11/2013
218,05/11/2013
219,06/11/2013
220,07/11/2013
221,08/11/2013
222,11/11/2013
223,12/11/2013
224,13/11/2013
225,14/11/2013
226,15/11/2013
227,18/11/2013
228,19/11/2013
229,20/11/2013
230,21/11/2013
231,22/11/2013
232,25/11/2013
233,26/11/2013
234,27/11/2013
235,28/11/2013
236,29/11/2013
237,02/12/2013
238,03/12/2013
239,04/12/2013
240,05/12/2013
241,06/12/2013
242,09/12/2013
243,10/12/2013
244,11/12/2013
245,12/12/2013
246,13/12/2013
247,16/12/2013
248,17/12/2013
249,18/12/2013
250,19/12/2013
251,20/12/2013
252,23/12/2013
253,24/12/2013
254,27/12/2013
255,30/12/2013
256,31/12/2013
257,02/01/2014
258,03/01/2014
259,06/01/2014
260,07/01/2014
261,08/01/2014
262,09/01/2014
263,10/01/2014
264,13/01/2014
265,14/01/2014
266,15/01/2014
267,16/01/2014
268,17/01/2014
269,20/01/2014
270,21/01/2014
271,22/01/2014
272,23/01/2014
273,24/01/2014
274,27/01/2014
275,28/01/2014
276,29/01/2014
277,30/01/2014
278,31/01/2014
279,03/02/2014
280,04/02/2014
281,05/02/2014
282,06/02/2014
283,07/02/2014
284,10/02/2014
285,11/02/2014
286,12/02/2014
287,13/02/2014
288,14/02/2014
289,17/02/2014
290,18/02/2014
291,19/02/2014
292,20/02/2014
293,21/02/2014
294,24/02/2014
295,25/02/2014
