OPEN,HIGH,LOW,CLOSE,VOLUME,BAR_SIZE,DATE_TIME
165.36,165.58,163.65,164.35,1317248,DAY_1,2013-09-03
164.34,166.09,164.13,166.04,898364,DAY_1,2013-09-04
166.13,166.4,165.65,165.98,582773,DAY_1,2013-09-05
165.88,166.98,164.48,165.84,1462634,DAY_1,2013-09-06
166.15,167.8,166.15,167.79,814071,DAY_1,2013-09-09
168.06,168.9,167.64,168.7,976159,DAY_1,2013-09-10
168.64,169.61,168.35,169.45,826807,DAY_1,2013-09-11
169.35,169.74,168.72,169.14,752439,DAY_1,2013-09-12
169.03,169.59,168.58,169.53,657959,DAY_1,2013-09-13
171.0,171.61,169.34,170.18,1079380,DAY_1,2013-09-16
170.1,171.22,170.05,171.13,695315,DAY_1,2013-09-17
171.11,173.52,170.58,173.16,1703056,DAY_1,2013-09-18
173.46,173.86,172.59,172.82,1164763,DAY_1,2013-09-19
172.12,172.5,170.57,170.64,1236445,DAY_1,2013-09-20
171.04,171.17,169.39,169.7,936418,DAY_1,2013-09-23
169.65,170.53,169.21,169.55,859227,DAY_1,2013-09-24
169.33,169.98,168.89,169.19,1102872,DAY_1,2013-09-25
169.33,170.17,169.05,169.94,742390,DAY_1,2013-09-26
169.65,169.66,168.47,169.01,909434,DAY_1,2013-09-27
167.98,168.97,167.15,168.22,1365546,DAY_1,2013-09-30
168.65,169.69,167.97,169.4,1107371,DAY_1,2013-10-01
168.65,169.34,167.83,168.25,1015636,DAY_1,2013-10-02
168.47,169.23,166.84,167.46,1611752,DAY_1,2013-10-03
167.65,169.06,167.53,168.84,877451,DAY_1,2013-10-04
167.41,168.9,167.01,167.3,877383,DAY_1,2013-10-07
167.42,167.64,165.16,165.95,1641395,DAY_1,2013-10-08
165.98,166.29,164.53,165.72,1570025,DAY_1,2013-10-09
166.43,169.26,165.57,168.75,1758254,DAY_1,2013-10-10
168.95,170.57,168.7,170.41,978501,DAY_1,2013-10-11
169.54,171.42,168.96,171.31,1045432,DAY_1,2013-10-14
170.89,171.3,169.47,170.86,1405191,DAY_1,2013-10-15
170.4,172.16,169.72,171.9,1448885,DAY_1,2013-10-16
171.77,173.82,171.14,173.62,1176598,DAY_1,2013-10-17
173.47,174.51,173.28,174.3,1230669,DAY_1,2013-10-18
174.27,174.75,174.01,174.35,746035,DAY_1,2013-10-21
174.27,175.93,174.18,175.32,1151514,DAY_1,2013-10-22
174.55,174.89,173.96,174.76,994684,DAY_1,2013-10-23
175.15,175.55,174.51,175.39,665539,DAY_1,2013-10-24
174.84,176.05,174.75,175.83,854909,DAY_1,2013-10-25
175.89,176.48,175.67,176.16,743143,DAY_1,2013-10-28
176.28,177.33,176.18,177.17,748917,DAY_1,2013-10-29
177.22,177.76,175.66,175.96,1223991,DAY_1,2013-10-30
175.88,176.89,175.53,175.91,1157983,DAY_1,2013-10-31
175.9,176.61,175.22,176.0,1194283,DAY_1,2013-11-01
176.21,176.91,176.0,176.81,653478,DAY_1,2013-11-04
176.66,176.75,175.57,176.37,743503,DAY_1,2013-11-05
176.75,177.5,176.41,176.82,768845,DAY_1,2013-11-06
176.93,177.95,174.76,175.25,1501226,DAY_1,2013-11-07
175.45,177.31,174.15,177.19,1251518,DAY_1,2013-11-08
176.94,177.53,176.91,177.36,625551,DAY_1,2013-11-11
177.12,177.36,176.37,177.1,755477,DAY_1,2013-11-12
176.8,178.82,175.96,178.8,944370,DAY_1,2013-11-13
178.78,179.42,178.25,179.25,898852,DAY_1,2013-11-14
179.4,180.12,179.15,179.9,824209,DAY_1,2013-11-15
179.75,180.5,179.02,179.49,967516,DAY_1,2013-11-18
179.22,179.87,178.72,178.95,845174,DAY_1,2013-11-19
179.1,179.93,177.98,178.51,1104735,DAY_1,2013-11-20
178.47,180.05,178.34,180.0,846386,DAY_1,2013-11-21
180.01,180.83,179.75,180.58,706219,DAY_1,2013-11-22
180.97,181.7,180.37,180.83,693987,DAY_1,2013-11-25
180.87,181.22,180.41,180.74,733330,DAY_1,2013-11-26
180.72,181.24,180.65,181.08,520227,DAY_1,2013-11-27
181.25,181.75,180.8,181.0,511596,DAY_1,2013-11-29
180.89,181.43,180.25,180.65,874717,DAY_1,2013-12-02
180.66,180.66,179.17,179.82,980963,DAY_1,2013-12-03
179.99,180.48,178.35,179.76,1169308,DAY_1,2013-12-04
179.8,179.98,178.77,179.15,955479,DAY_1,2013-12-05
179.47,181.23,178.99,181.17,1076121,DAY_1,2013-12-06
181.24,181.67,180.95,181.55,622327,DAY_1,2013-12-09
181.56,181.63,180.64,181.29,767747,DAY_1,2013-12-10
180.87,181.37,178.5,178.74,1205238,DAY_1,2013-12-11
178.8,178.95,177.76,178.04,1109817,DAY_1,2013-12-12
178.66,178.85,177.77,177.97,977455,DAY_1,2013-12-13
177.83,179.81,177.04,179.01,853823,DAY_1,2013-12-16
179.11,179.46,178.25,178.74,757919,DAY_1,2013-12-17
178.71,181.84,177.32,181.52,2057348,DAY_1,2013-12-18
181.54,181.77,180.71,181.56,1094821,DAY_1,2013-12-19
180.68,182.0,180.51,181.85,1466263,DAY_1,2013-12-20
182.27,182.64,181.47,182.31,618026,DAY_1,2013-12-23
182.53,183.45,182.38,183.35,369918,DAY_1,2013-12-24
183.3,183.96,183.24,183.66,539154,DAY_1,2013-12-26
183.76,184.18,183.53,183.85,543314,DAY_1,2013-12-27
183.83,184.08,183.58,183.75,496783,DAY_1,2013-12-30
183.81,184.98,183.76,184.98,748389,DAY_1,2013-12-31
184.84,184.84,182.48,183.09,939236,DAY_1,2014-01-02
182.88,183.6,182.62,182.66,693489,DAY_1,2014-01-03
182.64,183.56,182.08,182.39,901887,DAY_1,2014-01-06
182.8,183.79,182.36,183.29,794372,DAY_1,2014-01-07
183.51,183.83,182.89,183.52,854519,DAY_1,2014-01-08
183.38,184.22,182.79,183.69,822116,DAY_1,2014-01-09
183.8,184.57,183.01,184.18,978155,DAY_1,2014-01-10
183.8,184.18,181.34,181.93,1303210,DAY_1,2014-01-13
182.08,183.78,181.66,183.66,929245,DAY_1,2014-01-14
183.95,184.94,183.71,184.7,814531,DAY_1,2014-01-15
184.71,184.71,183.83,184.12,640733,DAY_1,2014-01-16
184.12,184.63,183.32,183.6,870750,DAY_1,2014-01-17
184.15,184.77,183.05,184.14,803396,DAY_1,2014-01-21
184.3,184.74,183.9,184.55,590973,DAY_1,2014-01-22
184.02,184.73,181.82,182.84,1118407,DAY_1,2014-01-23
182.82,182.82,178.43,178.59,1851513,DAY_1,2014-01-24
179.05,179.63,177.12,178.04,1755547,DAY_1,2014-01-27
178.62,180.34,177.99,180.17,1015587,DAY_1,2014-01-28
180.07,180.07,176.88,177.89,1998223,DAY_1,2014-01-29
177.81,179.81,177.32,178.87,1140697,DAY_1,2014-01-30
178.36,179.31,176.57,178.1,1672744,DAY_1,2014-01-31
178.18,178.66,173.72,174.5,2364978,DAY_1,2014-02-03
174.6,175.84,174.11,174.95,1529067,DAY_1,2014-02-04
174.76,175.56,173.71,175.24,1484388,DAY_1,2014-02-05
175.26,177.48,174.95,177.24,1121645,DAY_1,2014-02-06
177.29,179.89,176.35,179.86,1539513,DAY_1,2014-02-07
179.73,180.28,179.1,180.14,779388,DAY_1,2014-02-10
180.62,182.44,180.01,181.71,1138653,DAY_1,2014-02-11
182.0,182.83,181.7,182.01,887320,DAY_1,2014-02-12
181.9,183.2,180.75,182.97,938105,DAY_1,2014-02-13
182.9,184.36,182.58,184.01,871042,DAY_1,2014-02-14
184.2,184.49,183.65,184.01,689075,DAY_1,2014-02-18
184.0,184.95,182.87,183.3,1119784,DAY_1,2014-02-19
182.8,184.52,182.45,184.39,958441,DAY_1,2014-02-20
184.47,184.89,183.7,183.87,919865,DAY_1,2014-02-21
184.0,186.15,183.89,185.07,995885,DAY_1,2014-02-24
184.77,185.59,184.23,185.31,1060605,DAY_1,2014-02-25
185.54,185.64,184.33,184.86,959516,DAY_1,2014-02-26
184.91,186.07,183.83,185.85,916269,DAY_1,2014-02-27
185.83,187.15,185.05,186.29,1428720,DAY_1,2014-02-28
185.1,186.3,183.75,185.11,1543786,DAY_1,2014-03-03
185.98,187.98,184.91,187.5,1599973,DAY_1,2014-03-04
187.75,188.17,187.45,187.77,801922,DAY_1,2014-03-05
188.05,188.61,187.61,188.24,784576,DAY_1,2014-03-06
188.2,189.26,187.43,188.21,1151804,DAY_1,2014-03-07
187.92,188.36,187.08,188.09,718608,DAY_1,2014-03-10
188.14,188.71,186.79,186.88,966314,DAY_1,2014-03-11
186.86,187.48,185.89,187.48,996584,DAY_1,2014-03-12
187.56,187.99,184.66,185.3,1464448,DAY_1,2014-03-13
184.91,185.8,184.44,184.67,1476888,DAY_1,2014-03-14
184.32,186.77,183.87,186.36,975578,DAY_1,2014-03-17
186.24,187.91,185.78,187.69,938333,DAY_1,2014-03-18
187.9,188.6,185.47,186.59,1315537,DAY_1,2014-03-19
186.4,187.93,185.77,187.75,1050330,DAY_1,2014-03-20
187.3,188.22,186.03,186.08,1399091,DAY_1,2014-03-21
186.47,187.07,184.62,185.59,1196597,DAY_1,2014-03-24
185.38,186.94,185.27,186.68,995690,DAY_1,2014-03-25
186.4,187.34,184.66,184.99,1137288,DAY_1,2014-03-26
184.98,185.34,183.9,184.8,1348519,DAY_1,2014-03-27
184.96,186.42,184.58,185.76,936713,DAY_1,2014-03-28
186.14,187.3,185.5,186.92,937032,DAY_1,2014-03-31
187.2,188.38,186.8,188.29,821840,DAY_1,2014-04-01
188.31,189.13,187.92,188.68,718396,DAY_1,2014-04-02
188.65,189.24,188.05,188.96,743416,DAY_1,2014-04-03
189.06,189.74,186.1,186.59,1571344,DAY_1,2014-04-04
185.99,186.38,183.96,184.59,1360297,DAY_1,2014-04-07
