,AI.PA.Close,AIR.PA.Close,BNP.PA.Close,BN.PA.Close,DG.PA.Close
2017-03-14,94.136398,70.199997,59.849998,62.66,69.769997
2017-03-15,94.545403,70.43,60.09,62.619999,69.449997
2017-03-16,95.181801,70.360001,60.689999,62.790001,70.370003
2017-03-17,95.909103,70.010002,60.279999,63.209999,71.699997
2017-03-20,96.045403,70.599998,59.650002,64,71.690002
2017-03-21,96.090897,69.610001,60.259998,63.790001,72.190002
2017-03-22,96.363602,68.900002,60.290001,63.970001,72.190002
2017-03-23,96.863602,69.849998,61.099998,63.970001,73.730003
2017-03-24,96.545403,70.019997,60.459999,63.610001,74.360001
2017-03-27,96.772697,69.330002,60.360001,64.199997,74.349998
2017-03-28,96.545403,70.830002,61.919998,63.310001,73.93
2017-03-29,97.318199,71.620003,62.040001,63.310001,73.75
2017-03-30,97.090897,71.639999,61.799999,63.549999,74.160004
2017-03-31,97.363602,71.330002,62.43,63.759998,74.300003
2017-04-03,97.227303,71.360001,61.220001,63.5,74.459999
2017-04-04,97.181801,71.82,60.709999,63.919998,73.800003
2017-04-05,97.363602,71.57,60.099998,63.599998,73.970001
2017-04-06,98.136398,72.519997,60.75,63.75,74.629997
2017-04-07,99.318199,72.5,60.900002,64.169998,74.540001
2017-04-10,98.545403,71.089996,60,64.080002,73.709999
2017-04-11,97.318199,71.300003,59.389999,64,74.980003
2017-04-12,97.681801,71.93,59.099998,64.239998,73.690002
2017-04-13,97.727303,71.330002,58.299999,64.269997,73.849998
2017-04-18,97.045403,69.529999,57.32,63.860001,72.559998
2017-04-19,96.363602,69.940002,58.34,63.349998,72.220001
2017-04-20,97.227303,72.269997,60.650002,63.709999,73.989998
2017-04-21,96.136398,71.57,62,62.150002,73.330002
2017-04-24,100.681999,73.959999,66.660004,63.650002,78.5
2017-04-25,100.863998,74.099998,66.949997,63.77,77.720001
2017-04-26,102,74.089996,65.800003,63.560001,77.209999
2017-04-27,100.908997,75,64.989998,63.900002,77.550003
2017-04-28,100.544998,74.230003,64.779999,64.18,78.099998
2017-05-02,102.136002,74.650002,65.769997,64.370003,78.050003
2017-05-03,102.681999,73.919998,66.150002,64.190002,77.07
2017-05-04,103,75.029999,66.370003,65.5,79.330002
2017-05-05,104.681999,75.879997,67.879997,65.010002,79.5
2017-05-08,103.181999,75.410004,66.839996,65.199997,78.989998
2017-05-09,104,75.5,66.660004,66.129997,79
2017-05-10,103.544998,75.239998,66.779999,66.230003,78.32
2017-05-11,103.044998,74,66.410004,66.730003,77.779999
2017-05-12,103.908997,74.459999,66.559998,67.120003,78.529999
2017-05-15,101.726997,74.269997,67.07,67.089996,78.370003
2017-05-16,100.908997,74.190002,67.209999,67.550003,77.690002
2017-05-17,99.590897,72.730003,65.110001,66.870003,76.949997
2017-05-18,99.636398,73.220001,64.360001,65,76.900002
2017-05-19,100.726997,73.760002,65.669998,65.849998,76.650002
2017-05-22,100.544998,72.629997,65.459999,66.190002,76.5
2017-05-23,101.273003,72.410004,66.18,66.849998,76.830002
2017-05-24,100.5,72.419998,66.839996,66.650002,76.529999
2017-05-25,100.681999,73.099998,66.559998,67.019997,76.889999
2017-05-26,100.863998,73.900002,66.389999,66.550003,77
2017-05-29,100.636002,73.720001,66.349998,66.650002,76.900002
2017-05-30,99,73.269997,63.599998,66.230003,76.540001
2017-05-31,98.636398,73.07,62.82,66.080002,77.730003
2017-06-01,99.863602,75.230003,62.990002,66.870003,77.559998
2017-06-02,101,75.599998,63.400002,67.32,78.089996
2017-06-05,100.408997,74.760002,63.099998,67.139999,77.800003
2017-06-06,99.5,74.699997,62.450001,66.800003,76.769997
2017-06-07,98.681801,73.470001,63.48,67.230003,76.699997
2017-06-08,98.5,73.75,63.720001,66.639999,77.059998
2017-06-09,99.818199,75.410004,64.510002,66.910004,78.010002
2017-06-12,99.227303,74.269997,63.389999,66.309998,77.599998
2017-06-13,100.136002,74.599998,63.349998,66.699997,77.690002
2017-06-14,98.727303,75.129997,62.400002,66.599998,78.550003
2017-06-15,97.681801,73.279999,61.849998,66.690002,78.459999
2017-06-16,99.818199,74.93,62.049999,67.43,79.589996
2017-06-19,102.273003,76.400002,63.060001,67.57,79.800003
2017-06-20,102.5,75.949997,62.549999,68.540001,79.910004
2017-06-21,102.363998,75.25,62.139999,68.309998,79.5
2017-06-22,101.726997,75.040001,61.93,67.650002,79
2017-06-23,101.363998,75.699997,61.5,67.480003,78.970001
2017-06-26,101.363998,75.949997,61.599998,69.440002,79.510002
2017-06-27,100.955002,74.480003,62.650002,67.93,77.699997
2017-06-28,100.408997,73.800003,64.330002,67.589996,77.360001
2017-06-29,98.409103,72.220001,63.970001,66.379997,74.889999
2017-06-30,98.363602,72,63.060001,65.809998,74.730003
2017-07-03,100.044998,73.099998,64.940002,66.68,75.050003
2017-07-04,99.227303,73.099998,64.68,66.410004,74.790001
2017-07-05,98.772697,73.910004,64.470001,66.43,75.339996
2017-07-06,98,74.129997,65.339996,65.43,73.449997
2017-07-07,97.636398,74.099998,65.519997,65.580002,73.889999
2017-07-10,98.136398,74.360001,65.559998,65.75,74.849998
2017-07-11,97.272697,74.440002,65.260002,64.599998,75.120003
2017-07-12,99.272697,74.639999,65.989998,65.68,77.07
2017-07-13,98.909103,75,66.919998,66.080002,77.959999
2017-07-14,99.454597,74.559998,66.300003,65.940002,77.889999
2017-07-17,99.636398,73.639999,65.860001,65.830002,77.760002
2017-07-18,98.636398,72.459999,64.760002,65.300003,77.150002
