res <- geneticProgramming(  functionSet = Fset,
+                             inputVariables = Var,
+                             constantSet = cFset,
+                             fitnessFunction = fF,
+                             stopCondition = makeTimeStopCondition(300))
STARTING genetic programming evolution run (Age/Fitness/Complexity Pareto GP search-heuristic) ...
evolution step 100, fitness evaluations: 4950, best fitness: 0.054374, time elapsed: 0.86 seconds
evolution step 200, fitness evaluations: 9950, best fitness: 0.054374, time elapsed: 1.42 seconds
evolution step 300, fitness evaluations: 14950, best fitness: 0.054374, time elapsed: 2.03 seconds
evolution step 400, fitness evaluations: 19950, best fitness: 0.054374, time elapsed: 2.62 seconds
evolution step 500, fitness evaluations: 24950, best fitness: 0.054374, time elapsed: 3.23 seconds
evolution step 600, fitness evaluations: 29950, best fitness: 0.054374, time elapsed: 3.81 seconds
evolution step 700, fitness evaluations: 34950, best fitness: 0.028683, time elapsed: 4.4 seconds
evolution step 800, fitness evaluations: 39950, best fitness: 0.017184, time elapsed: 5.01 seconds
evolution step 900, fitness evaluations: 44950, best fitness: 0.017184, time elapsed: 5.68 seconds
evolution step 1000, fitness evaluations: 49950, best fitness: 0.017184, time elapsed: 6.29 seconds
evolution step 1100, fitness evaluations: 54950, best fitness: 0.017184, time elapsed: 6.93 seconds
evolution step 1200, fitness evaluations: 59950, best fitness: 0.015481, time elapsed: 7.61 seconds
evolution step 1300, fitness evaluations: 64950, best fitness: 0.015481, time elapsed: 8.22 seconds
evolution step 1400, fitness evaluations: 69950, best fitness: 0.015481, time elapsed: 8.87 seconds
evolution step 1500, fitness evaluations: 74950, best fitness: 0.015481, time elapsed: 9.53 seconds
evolution step 1600, fitness evaluations: 79950, best fitness: 0.015185, time elapsed: 10.17 seconds
evolution step 1700, fitness evaluations: 84950, best fitness: 0.013809, time elapsed: 10.97 seconds
evolution step 1800, fitness evaluations: 89950, best fitness: 0.012169, time elapsed: 12.09 seconds
evolution step 1900, fitness evaluations: 94950, best fitness: 0.012169, time elapsed: 13.29 seconds
evolution step 2000, fitness evaluations: 99950, best fitness: 0.012169, time elapsed: 14.56 seconds
evolution step 2100, fitness evaluations: 104950, best fitness: 0.011639, time elapsed: 16.03 seconds
evolution step 2200, fitness evaluations: 109950, best fitness: 0.011634, time elapsed: 17.65 seconds
evolution step 2300, fitness evaluations: 114950, best fitness: 0.011474, time elapsed: 19.67 seconds
evolution step 2400, fitness evaluations: 119950, best fitness: 0.011474, time elapsed: 21.92 seconds
evolution step 2500, fitness evaluations: 124950, best fitness: 0.011474, time elapsed: 24.53 seconds
evolution step 2600, fitness evaluations: 129950, best fitness: 0.011474, time elapsed: 27.18 seconds
evolution step 2700, fitness evaluations: 134950, best fitness: 0.004511, time elapsed: 28.45 seconds
evolution step 2800, fitness evaluations: 139950, best fitness: 0.002580, time elapsed: 29.25 seconds
evolution step 2900, fitness evaluations: 144950, best fitness: 0.002580, time elapsed: 30.04 seconds
evolution step 3000, fitness evaluations: 149950, best fitness: 0.002580, time elapsed: 30.82 seconds
evolution step 3100, fitness evaluations: 154950, best fitness: 0.002580, time elapsed: 31.54 seconds
evolution step 3200, fitness evaluations: 159950, best fitness: 0.002580, time elapsed: 32.25 seconds
evolution step 3300, fitness evaluations: 164950, best fitness: 0.002580, time elapsed: 32.97 seconds
evolution step 3400, fitness evaluations: 169950, best fitness: 0.002580, time elapsed: 33.73 seconds
evolution step 3500, fitness evaluations: 174950, best fitness: 0.002580, time elapsed: 34.51 seconds
evolution step 3600, fitness evaluations: 179950, best fitness: 0.002580, time elapsed: 35.32 seconds
evolution step 3700, fitness evaluations: 184950, best fitness: 0.002580, time elapsed: 36.07 seconds
evolution step 3800, fitness evaluations: 189950, best fitness: 0.002580, time elapsed: 36.81 seconds
evolution step 3900, fitness evaluations: 194950, best fitness: 0.002580, time elapsed: 37.54 seconds
evolution step 4000, fitness evaluations: 199950, best fitness: 0.002580, time elapsed: 38.23 seconds
evolution step 4100, fitness evaluations: 204950, best fitness: 0.002580, time elapsed: 38.93 seconds
evolution step 4200, fitness evaluations: 209950, best fitness: 0.002580, time elapsed: 39.65 seconds
evolution step 4300, fitness evaluations: 214950, best fitness: 0.002580, time elapsed: 40.37 seconds
evolution step 4400, fitness evaluations: 219950, best fitness: 0.002580, time elapsed: 41.12 seconds
evolution step 4500, fitness evaluations: 224950, best fitness: 0.002580, time elapsed: 41.86 seconds
evolution step 4600, fitness evaluations: 229950, best fitness: 0.002580, time elapsed: 42.54 seconds
evolution step 4700, fitness evaluations: 234950, best fitness: 0.002580, time elapsed: 43.28 seconds
evolution step 4800, fitness evaluations: 239950, best fitness: 0.002580, time elapsed: 44.03 seconds
evolution step 4900, fitness evaluations: 244950, best fitness: 0.002580, time elapsed: 44.68 seconds
evolution step 5000, fitness evaluations: 249950, best fitness: 0.002580, time elapsed: 45.36 seconds
evolution step 5100, fitness evaluations: 254950, best fitness: 0.002580, time elapsed: 46.11 seconds
evolution step 5200, fitness evaluations: 259950, best fitness: 0.002580, time elapsed: 46.82 seconds
evolution step 5300, fitness evaluations: 264950, best fitness: 0.002580, time elapsed: 47.53 seconds
evolution step 5400, fitness evaluations: 269950, best fitness: 0.002580, time elapsed: 48.26 seconds
evolution step 5500, fitness evaluations: 274950, best fitness: 0.002580, time elapsed: 48.98 seconds
evolution step 5600, fitness evaluations: 279950, best fitness: 0.002580, time elapsed: 49.7 seconds
evolution step 5700, fitness evaluations: 284950, best fitness: 0.002580, time elapsed: 50.57 seconds
evolution step 5800, fitness evaluations: 289950, best fitness: 0.002580, time elapsed: 51.26 seconds
evolution step 5900, fitness evaluations: 294950, best fitness: 0.002580, time elapsed: 52.03 seconds
evolution step 6000, fitness evaluations: 299950, best fitness: 0.002580, time elapsed: 52.87 seconds
evolution step 6100, fitness evaluations: 304950, best fitness: 0.000842, time elapsed: 53.61 seconds
evolution step 6200, fitness evaluations: 309950, best fitness: 0.000842, time elapsed: 54.39 seconds
evolution step 6300, fitness evaluations: 314950, best fitness: 0.000842, time elapsed: 55.17 seconds
evolution step 6400, fitness evaluations: 319950, best fitness: 0.000842, time elapsed: 56 seconds
evolution step 6500, fitness evaluations: 324950, best fitness: 0.000842, time elapsed: 56.81 seconds
evolution step 6600, fitness evaluations: 329950, best fitness: 0.000418, time elapsed: 57.59 seconds
evolution step 6700, fitness evaluations: 334950, best fitness: 0.000418, time elapsed: 58.43 seconds
evolution step 6800, fitness evaluations: 339950, best fitness: 0.000418, time elapsed: 59.28 seconds
evolution step 6900, fitness evaluations: 344950, best fitness: 0.000418, time elapsed: 1 minute, 0.01 seconds
evolution step 7000, fitness evaluations: 349950, best fitness: 0.000418, time elapsed: 1 minute, 0.78 seconds
evolution step 7100, fitness evaluations: 354950, best fitness: 0.000418, time elapsed: 1 minute, 1.51 seconds
evolution step 7200, fitness evaluations: 359950, best fitness: 0.000418, time elapsed: 1 minute, 2.25 seconds
evolution step 7300, fitness evaluations: 364950, best fitness: 0.000418, time elapsed: 1 minute, 3 seconds
evolution step 7400, fitness evaluations: 369950, best fitness: 0.000418, time elapsed: 1 minute, 3.78 seconds
evolution step 7500, fitness evaluations: 374950, best fitness: 0.000418, time elapsed: 1 minute, 4.53 seconds
evolution step 7600, fitness evaluations: 379950, best fitness: 0.000418, time elapsed: 1 minute, 5.26 seconds
evolution step 7700, fitness evaluations: 384950, best fitness: 0.000418, time elapsed: 1 minute, 6.03 seconds
evolution step 7800, fitness evaluations: 389950, best fitness: 0.000418, time elapsed: 1 minute, 6.82 seconds
evolution step 7900, fitness evaluations: 394950, best fitness: 0.000418, time elapsed: 1 minute, 7.65 seconds
evolution step 8000, fitness evaluations: 399950, best fitness: 0.000418, time elapsed: 1 minute, 8.45 seconds
evolution step 8100, fitness evaluations: 404950, best fitness: 0.000418, time elapsed: 1 minute, 9.22 seconds
evolution step 8200, fitness evaluations: 409950, best fitness: 0.000418, time elapsed: 1 minute, 10.01 seconds
evolution step 8300, fitness evaluations: 414950, best fitness: 0.000418, time elapsed: 1 minute, 10.79 seconds
evolution step 8400, fitness evaluations: 419950, best fitness: 0.000418, time elapsed: 1 minute, 11.5 seconds
evolution step 8500, fitness evaluations: 424950, best fitness: 0.000418, time elapsed: 1 minute, 12.25 seconds
evolution step 8600, fitness evaluations: 429950, best fitness: 0.000418, time elapsed: 1 minute, 13.03 seconds
evolution step 8700, fitness evaluations: 434950, best fitness: 0.000418, time elapsed: 1 minute, 13.78 seconds
evolution step 8800, fitness evaluations: 439950, best fitness: 0.000418, time elapsed: 1 minute, 14.57 seconds
evolution step 8900, fitness evaluations: 444950, best fitness: 0.000418, time elapsed: 1 minute, 15.36 seconds
evolution step 9000, fitness evaluations: 449950, best fitness: 0.000418, time elapsed: 1 minute, 16.15 seconds
evolution step 9100, fitness evaluations: 454950, best fitness: 0.000418, time elapsed: 1 minute, 16.95 seconds
evolution step 9200, fitness evaluations: 459950, best fitness: 0.000418, time elapsed: 1 minute, 17.7 seconds
evolution step 9300, fitness evaluations: 464950, best fitness: 0.000418, time elapsed: 1 minute, 18.42 seconds
evolution step 9400, fitness evaluations: 469950, best fitness: 0.000418, time elapsed: 1 minute, 19.18 seconds
evolution step 9500, fitness evaluations: 474950, best fitness: 0.000418, time elapsed: 1 minute, 19.9 seconds
evolution step 9600, fitness evaluations: 479950, best fitness: 0.000418, time elapsed: 1 minute, 20.64 seconds
evolution step 9700, fitness evaluations: 484950, best fitness: 0.000418, time elapsed: 1 minute, 21.39 seconds
evolution step 9800, fitness evaluations: 489950, best fitness: 0.000418, time elapsed: 1 minute, 22.11 seconds
evolution step 9900, fitness evaluations: 494950, best fitness: 0.000418, time elapsed: 1 minute, 22.9 seconds
evolution step 10000, fitness evaluations: 499950, best fitness: 0.000418, time elapsed: 1 minute, 23.78 seconds
evolution step 10100, fitness evaluations: 504950, best fitness: 0.000418, time elapsed: 1 minute, 24.51 seconds
evolution step 10200, fitness evaluations: 509950, best fitness: 0.000418, time elapsed: 1 minute, 25.23 seconds
evolution step 10300, fitness evaluations: 514950, best fitness: 0.000418, time elapsed: 1 minute, 26.03 seconds
evolution step 10400, fitness evaluations: 519950, best fitness: 0.000418, time elapsed: 1 minute, 26.86 seconds
evolution step 10500, fitness evaluations: 524950, best fitness: 0.000418, time elapsed: 1 minute, 27.65 seconds
evolution step 10600, fitness evaluations: 529950, best fitness: 0.000418, time elapsed: 1 minute, 28.47 seconds
evolution step 10700, fitness evaluations: 534950, best fitness: 0.000418, time elapsed: 1 minute, 29.29 seconds
evolution step 10800, fitness evaluations: 539950, best fitness: 0.000418, time elapsed: 1 minute, 30.17 seconds
evolution step 10900, fitness evaluations: 544950, best fitness: 0.000418, time elapsed: 1 minute, 30.92 seconds
evolution step 11000, fitness evaluations: 549950, best fitness: 0.000418, time elapsed: 1 minute, 31.65 seconds
evolution step 11100, fitness evaluations: 554950, best fitness: 0.000418, time elapsed: 1 minute, 32.42 seconds
evolution step 11200, fitness evaluations: 559950, best fitness: 0.000418, time elapsed: 1 minute, 33.17 seconds
evolution step 11300, fitness evaluations: 564950, best fitness: 0.000418, time elapsed: 1 minute, 33.92 seconds
evolution step 11400, fitness evaluations: 569950, best fitness: 0.000418, time elapsed: 1 minute, 34.68 seconds
evolution step 11500, fitness evaluations: 574950, best fitness: 0.000418, time elapsed: 1 minute, 35.4 seconds
evolution step 11600, fitness evaluations: 579950, best fitness: 0.000418, time elapsed: 1 minute, 36.23 seconds
evolution step 11700, fitness evaluations: 584950, best fitness: 0.000418, time elapsed: 1 minute, 37.07 seconds
evolution step 11800, fitness evaluations: 589950, best fitness: 0.000418, time elapsed: 1 minute, 37.79 seconds
evolution step 11900, fitness evaluations: 594950, best fitness: 0.000418, time elapsed: 1 minute, 38.53 seconds
evolution step 12000, fitness evaluations: 599950, best fitness: 0.000418, time elapsed: 1 minute, 39.28 seconds
evolution step 12100, fitness evaluations: 604950, best fitness: 0.000418, time elapsed: 1 minute, 40.06 seconds
evolution step 12200, fitness evaluations: 609950, best fitness: 0.000418, time elapsed: 1 minute, 40.79 seconds
evolution step 12300, fitness evaluations: 614950, best fitness: 0.000418, time elapsed: 1 minute, 41.53 seconds
evolution step 12400, fitness evaluations: 619950, best fitness: 0.000418, time elapsed: 1 minute, 42.26 seconds
evolution step 12500, fitness evaluations: 624950, best fitness: 0.000418, time elapsed: 1 minute, 43.04 seconds
evolution step 12600, fitness evaluations: 629950, best fitness: 0.000418, time elapsed: 1 minute, 43.79 seconds
evolution step 12700, fitness evaluations: 634950, best fitness: 0.000418, time elapsed: 1 minute, 44.51 seconds
evolution step 12800, fitness evaluations: 639950, best fitness: 0.000418, time elapsed: 1 minute, 45.26 seconds
evolution step 12900, fitness evaluations: 644950, best fitness: 0.000418, time elapsed: 1 minute, 46.06 seconds
evolution step 13000, fitness evaluations: 649950, best fitness: 0.000418, time elapsed: 1 minute, 46.79 seconds
