A1;A2;A3;A4;A5;A6;A7;A8;A9;A10
50,119999;50,189999;50,66;50,139999;1673754;42,040173;0,062;0,7553;0,4487441;-0,5
50;50,5;50,5;49,825001;1309227;41,600269;0,066;0,7637;0,4487441;-0,5
49,59;50,099998;50,130001;49,869999;1177188;41,50066;0,068;0,7666;0,4487441;-0,5
49,724998;49,904999;49,985001;49,48;1339844;41,160358;0,066;0,7635;0,4487441;-0,5
49,610001;49,349998;49,93;49,349998;1172185;41,272408;0,067;0,7653;0,4487441;-0,5
49,919998;49,919998;49,919998;49,279999;1305774;41,17696;0,069;0,7667;0,4487441;-0,5
49,599998;49,740002;49,959999;49,575001;1258239;41,434265;0,069;0,7567;0,4487441;-0,5
49,220001;49,759998;49,869999;49,365002;1144799;41,168655;0,067;0,7493;0,4487441;-0,5
49,834999;49,669998;49,674999;49,209999;1127432;40,853256;0,065;0,7481;0,4487441;-0,5
49,950001;49,23;49,98;49,23;1714516;41,363708;0,064;0,7491;0,4487441;-0,5
50,049999;49,759998;50,23;49,720001;1209617;41,459164;0,067;0,7521;0,4487441;-0,5
49,810001;49,924999;50,349998;49,764999;1379024;41,542168;0,068;0,7487;0,4487441;-0,5
50,34;50,049999;50,279999;49,66;1462035;41,342964;0,068;0,7524;0,4487441;-0,5
50,529999;49,900002;50,509998;49,900002;801500;41,782871;0,068;0,751;0,4487441;-0,5
51,130001;50,27;50,75;50,240002;981526;41,940571;0,069;0,7527;0,4487441;-0,5
51,799999;50,799999;51,330002;50,759998;1406479;42,43858;0,068;0,7529;0,4487441;-0,5
51,82;51,279999;51,799999;51,150002;1379797;42,994682;0,068;0,7478;0,4487441;-0,5
51,540001;51,75;52,169998;51,73;1221614;43,011288;0,071;0,7421;0,4487441;-0,5
52;51,689999;51,689999;51,009998;1200143;42,778881;0,073;0,7428;0,4487441;-0,5
52,080002;51,450001;52;51,450001;887043;43,16069;0,074;0,7419;0,4487441;-0,5
51,040001;51,939999;52,099998;51,650002;1303951;43,227093;0,081;0,737;0,4487441;-0,5
51,23;51,75;52,07;50,860001;2516180;42,36388;0,08;0,7367;0,4487441;-0,5
50,299999;51,18;51,68;51,119999;1542450;42,52158;0,081;0,7302;0,4487441;0,28
49,959999;51,34;51,560001;50,299999;1849305;41,749668;0,079;0,7376;0,4487441;0,28
49,895;50,099998;50,669998;49,875;1858860;41,467457;0,074;0,7392;0,4487441;0,28
50,209999;49,889999;50,400002;49,654999;2516975;41,413513;0,067;0,7387;0,4487441;0,28
50,990002;50;51,080002;49,98;2480845;41,674965;0,068;0,7468;0,4487441;0,28
