A1;A2;A3;A4;A5;A6;A7;A8;A9;A10
44,459999;43,93;44,564999;43,419998;3604846;32,834641;0,062;0,7553;0,4487441;-0,5
44,384998;44,240002;44,544998;44,014999;1719620;32,834641;0,066;0,7637;0,4487441;-0,5
45,209999;44,360001;44,720001;43,955002;1969483;32,779255;0,068;0,7666;0,4487441;-0,5
45,695;45,25;46,064999;45,119999;4186011;33,388531;0,066;0,7635;0,4487441;-0,5
45,639999;45,154999;46,555;45,064999;4068024;33,746712;0,067;0,7653;0,4487441;-0,5
45,575001;45,915001;46,334999;44,830002;4651803;33,7061;0,069;0,7667;0,4487441;-0,5
45,869999;45,700001;46,439999;44,82;4345922;33,658096;0,069;0,7567;0,4487441;-0,5
45,634998;45,715;45,98;44,865002;4009052;33,875957;0,067;0,7493;0,4487441;-0,5
44,23;46,064999;46,349998;45,505001;3295970;33,702404;0,065;0,7481;0,4487441;-0,5
44,209999;45,200001;45,32;44,154999;5905055;32,664787;0,064;0,7491;0,4487441;-0,5
45,625;44,235001;44,314999;43,23;4863845;32,650013;0,067;0,7521;0,4487441;-0,5
46,235001;44,25;45,625;44,224998;4222018;33,695023;0,068;0,7487;0,4487441;-0,5
46,450001;46,080002;46,619999;45,57;4478755;34,145519;0,068;0,7524;0,4487441;-0,5
46,294998;46,360001;46,5;45,900002;1442582;34,304306;0,068;0,751;0,4487441;-0,5
45,115002;46,5;46,630001;45,775002;3001194;34,189831;0,069;0,7527;0,4487441;-0,5
46,055;45,939999;46,195;45,115002;3860879;33,318375;0,068;0,7529;0,4487441;-0,5
46,665001;45,150002;46,330002;44,77;3120269;34,012585;0,068;0,7478;0,4487441;-0,5
47,665001;45,974998;46,869999;45,849998;3538570;34,463081;0,071;0,7421;0,4487441;-0,5
47,244999;46,799999;47,865002;46,669998;3392320;35,201603;0,073;0,7428;0,4487441;-0,5
46,205002;47,709999;47,915001;46,639999;3596990;34,891422;0,074;0,7419;0,4487441;-0,5
46,209999;47,404999;47,465;45,790001;4236583;34,123363;0,081;0,737;0,4487441;-0,5
46,755001;46,16;46,75;45,450001;3898523;34,127056;0,08;0,7367;0,4487441;-0,5
44,695;46,465;47,25;46,34;4388677;34,529552;0,081;0,7302;0,4487441;0,28
45,525002;46,889999;47,060001;44,695;5484208;33,008194;0,079;0,7376;0,4487441;0,28
44,365002;44,415001;45,970001;44,299999;3976399;33,621166;0,074;0,7392;0,4487441;0,28
43,564999;45,59;45,654999;43,68;4596368;32,764481;0,067;0,7387;0,4487441;0,28
44,595001;44,595001;45,200001;43,52;3735901;32,173668;0,068;0,7468;0,4487441;0,28
44,75;43,799999;44,915001;43,720001;3663641;32,934345;0,068;0,7473;0,4487441;0,28
46,035;44,5;45,200001;44,235001;2576821;33,048813;0,072;0,7474;0,4487441;0,28
45,845001;44,584999;46,130001;44,400002;4091394;33,997818;0,073;0,7427;0,4487441;0,28
46,75;46,029999;46,119999;45,279999;3818510;33,857494;0,064;0,7442;0,4487441;0,28
46,005001;46,299999;47,5;46,200001;7947608;34,525856;0,066;0,7495;0,4487441;0,28
45,380001;46,560001;47,215;46,005001;4966090;33,975658;0,06;0,749;0,4487441;0,28
45,625;45,974998;46;45,139999;3166507;33,514084;0,058;0,7491;0,4487441;0,28
44,525002;45,200001;45,799999;45,174999;2878682;33,695023;0,062;0,7487;0,4487441;0,28
42,5;45,5;45,875;44,325001;3699626;32,882652;0,069;0,7479;0,4487441;0,28
43,630001;44,099998;44,150002;42,419998;5926415;31,387148;0,07;0,7564;0,4487441;0,28
43,689999;42,799999;43,889999;42,759998;4350851;32,221672;0,071;0,7598;0,4487441;0,28
41,669998;43,895;45,650002;43,384998;6306810;32,26598;0,064;0,7568;0,4487441;0,28
43,154999;41,169998;42,700001;40,349998;9597217;30,77417;0,065;0,7649;0,4487441;0,28
43,105;42,154999;43,380001;41,41;6243792;31,870876;0,056;0,7628;0,4487441;0,28
42,369999;43,509998;43,700001;42,369999;4455634;31,833946;0,066;0,7648;0,4487441;0,28
42,5;42,810001;42,945;41,415001;5418369;31,29113;0,059;0,7702;0,4487441;0,76
43,735001;41,939999;42,744999;41,634998;3162771;31,387148;0,06;0,7686;0,4487441;0,76
43,02;43,099998;44,025002;42,985001;5156454;32,299221;0,061;0,7677;0,4487441;0,76
42,855;43,535;44,169998;42,939999;3810954;31,771175;0,07;0,7692;0,4487441;0,76
44,610001;43;43,57;42,700001;3478058;31,649319;0,063;0,7644;0,4487441;0,76
44,395;43,415001;44,849998;43,27;5465620;32,945423;0,06;0,7703;0,4487441;0,76
44,16;44,384998;44,785;44,110001;2553034;32,78664;0,064;0,7684;0,4487441;0,76
43,720001;44,195;44,799999;44,049999;2756053;32,613091;0,068;0,768;0,4487441;0,76
44,259998;43,919998;44,185001;43,560001;3358928;32,288139;0,068;0,7722;0,4487441;0,76
43,990002;44,200001;44,939999;44,099998;4649118;32,686939;0,068;0,7705;0,4487441;0,76
42,75;44,334999;44,674999;43,880001;6097027;32,487541;0,07;0,7653;0,4487441;0,76
40,955002;42,5;42,91;41,950001;5978402;31,571772;0,069;0,7717;0,4487441;0,76
42,240002;42,755001;42,755001;40,735001;6753241;30,246128;0,064;0,7759;0,4487441;0,76
42,02;41,349998;42,419998;41,064999;6615129;31,195129;0,065;0,7722;0,4487441;0,76
41,174999;42,16;42,48;41,610001;3621540;31,032658;0,062;0,7737;0,4487441;0,76
39,924999;41,755001;42,215;41,005001;5023927;30,408602;0,061;0,7695;0,4487441;0,76
40,365002;42,720001;42,75;39,5;8242131;29,485449;0,064;0,7763;0,4487441;0,76
39,669998;40;40,950001;39,700001;6334417;29,810398;0,064;0,7777;0,4487441;0,76
40,040001;40,375;40,59;38,650002;8796747;29,297129;0,067;0,7824;0,4487441;0,76
40,924999;39,685001;40,695;39,369999;4790046;29,570385;0,112;0,7788;0,4487441;0,76
40,095001;40,200001;41,18;39,639999;5077551;30,22397;0,07;0,7789;0,4487441;-0,15
39,830002;40,639999;41,009998;39,884998;4054540;29,611;0,072;0,7783;0,4487441;-0,15
39,264999;40,474998;41,355;39,540001;5128772;29,415295;0,074;0,778;0,4487441;-0,15
39,16;39,990002;40,200001;38,514999;5417445;28,998028;0,075;0,7679;0,4487441;-0,15
39,365002;39,5;39,919998;39,110001;3129826;28,920486;0,082;0,7682;0,4487441;-0,15
41,465;39,509998;39,904999;39,154999;3733712;29,071878;0,078;0,7658;0,4487441;-0,15
41,974998;39,639999;41,799999;39,5;6544709;30,622776;0,082;0,7642;0,4487441;-0,15
40,724998;41,584999;42,419998;41,299999;5388852;30,99942;0,086;0,7618;0,4487441;-0,15
40,330002;41,825001;41,860001;40,59;6182611;30,076265;0,082;0,7635;0,4487441;-0,15
40,119999;40,900002;41,174999;39,884998;3958824;29,784552;0,083;0,7642;0,4487441;-0,15
38,294998;39,974998;40,900002;39,715;3538698;29,629459;0,08;0,7616;0,4487441;-0,15
38,290001;40,400002;40,669998;38,009998;7264982;28,281662;0,078;0,7668;0,4487441;-0,15
38,965;38,5;39,450001;37,470001;7728861;28,277969;0,08;0,7645;0,4487441;-0,15
38,959999;38,955002;39,450001;38,560001;5446174;28,776468;0,083;0,7645;0,4487441;-0,15
41,060001;39,555;40,02;38,779999;4409094;28,772778;0,082;0,7674;0,4487441;-0,15
41,790001;39;41,25;39;7476587;30,323673;0,079;0,7684;0,4487441;-0,15
41,799999;41,195;41,970001;40,259998;6611233;30,862795;0,083;0,7695;0,4487441;-0,15
41,580002;41,945;42,169998;41,185001;3581832;30,870176;0,083;0,7689;0,4487441;-0,15
42,349998;41,759998;41,950001;41,279999;3638095;30,707705;0,082;0,7676;0,4487441;-0,15
42,310001;41,720001;42,48;41,595001;4147788;31,276361;0,085;0,7633;0,4487441;-0,15
42,869999;42,695;43,060001;42,310001;5113900;31,246822;0,102;0,7584;0,4487441;0,06
43,889999;42,150002;43,669998;41,849998;6603008;31,660397;0,078;0,7651;0,4487441;0,06
43,895;43,73;44;42,689999;6269094;32,413689;0,077;0,7625;0,4487441;0,06
44,950001;43,68;44;43,535;1990650;32,417377;0,083;0,7649;0,4487441;0,06
44,650002;44;45,299999;43,945;5293725;33,196522;0,075;0,7642;0,4487441;0,06
44,540001;45,095001;45,5;44,299999;3537855;32,974964;0,064;0,7591;0,4487441;0,06
44,669998;44,555;45,025002;44,240002;2186750;32,893726;0,072;0,7636;0,4487441;0,06
44,154999;44,505001;45,18;44,125;3483652;32,989731;0,074;0,7709;0,4487441;0,06
45,044998;44,84;44,904999;43,82;3585556;32,609394;0,086;0,7702;0,4487441;0,06
45,75;44,52;45,075001;44,009998;3649856;33,266678;0,081;0,7705;0,4487441;0,06
45,849998;44,700001;45,790001;44,389999;4687555;33,787331;0,078;0,7775;0,4487441;0,06
46,490002;45,494999;46,18;45,310001;3848669;33,861187;0,082;0,7742;0,4487441;0,06
